ra_043040_0001#0,"""A.P.241/4/2"""
ra_043040_0010#0,"""關於聖母星團的內容<br>即便是情報部，也沒有了解到太多的詳細信息。"""
ra_043040_0020#0,"""也就是說，還是得仰仗一下<br>火継小姐所知的情報了。"""
ra_043040_0030#0,"""可就算你這麼期待我……<br>我基本上也沒有了解很多。"""
ra_043040_0040#0,"""就連什麼幹部、什麼使徒<br>我都沒聽說過。"""
ra_043040_0050#0,"""甚至我加入聖母星團<br>也只是因為有一天，我突然接到了聖母的聯絡<br>然後被邀請進了一個會員制的社交平台而已。"""
ra_043040_0060#0,"""雖然我一開始也挺半信半疑的<br>但聖母所說的話，一直都是正確的<br>而且確實我也進入到了PSO2之中……"""
ra_043040_0070#0,"""……所以後來，我就相信了聖母。<br>就覺得她很厲害，還無所不知。"""
ra_043040_0080#0,"""至於我知道的其他所屬成員<br>就只有我們學校的學生會成員……<br>……還有冰莉而已。"""
ra_043040_0090#0,"""到頭來，我也只知道這麼點東西。<br>除此之外，就什麼也不清楚了。"""
ra_043040_0100#0,"""……我還自以為，我什麼都知道了呢。<br>明明我自己根本就毫無改變<br>卻覺得自己好像變得不一樣了。"""
ra_043040_0110#0,"""……明明什麼都沒有得到<br>卻覺得自己，好像獲得了什麼。"""
ra_043040_0120#0,"""誰都是如此"""
ra_043040_0130#0,"""有所不知才更有樂趣"""
ra_043040_0140#0,"""<%me>說得沒錯。<br>真正重要的，是要認識到自己有所不知<br>並憑著自己的努力，去探尋、知曉。"""
ra_043040_0150#0,"""……我也曾聽過這句話。<br>而且我也覺得，這樣才更有樂趣。"""
ra_043040_0160#0,"""……姐姐。<br>有所不知，原來有那麼糟糕嗎？"""
ra_043040_0170#0,"""要是這樣，那我就是最糟糕的了。<br>因為我不管是對我自己，還是對身邊的事<br>都完全不懂、完全不知道……"""
ra_043040_0180#0,"""……阿有。"""
ra_043040_0190#0,"""沒關係啦，火継小姐。<br>畢竟我們也一樣呀。"""
ra_043040_0200#0,"""現在開始也為時不晚。<br>我們就一起學習，去知曉各種各樣的知識吧。"""
ra_043040_0210#0,"""……恩。"""
