IncidentJsApcBegin#0,"""/ci2 2 嗨，看你好像陷入苦戰了！<br>讓我來助你一臂之力吧！"""
IncidentJsApcSuccess#0,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
IncidentJsApcFailure#0,"""唉呦，已經被打得這麼慘啦<br>這下有點麻煩了......<br>抱歉，我要收手了。"""
IncidentJsApcBeginEvo#0,"""APC共鬥連線開始（暫）"""
IncidentJsApcSuccessEvo#0,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
IncidentJsApcBegin#1,"""/ci2 1 啊，來得正好！<br>敵人數量有點多，打得好累<br>可以請你幫幫忙麼？"""
IncidentJsApcSuccess#1,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那就下次見咯！"""
IncidentJsApcFailure#1,"""嗚嗚......我不行了......<br>對不起，讓我先<br>撤退吧......"""
IncidentJsApcBeginEvo#1,"""/ci3 1 嗚哇......好像有種很不妙的<br>反應就在附近......<br>小心為上！"""
IncidentJsApcSuccessEvo#1,"""/ci2 3 呼，總算是撐過去了......<br>我得向你道謝，你幫了我一個大忙。<br>那就下次見咯！"""
IncidentJsApcBegin#2,"""/toge /ci2 2 啊啊，伙伴！　來得正好！<br>敵人數量相當多啊<br>拜託你幫幫我吧！"""
IncidentJsApcSuccess#2,"""/ci2 1 呼，總算是撐過去啦。<br>謝啦，伙伴。多虧了你<br>才能度過這個難關。"""
IncidentJsApcFailure#2,"""快、快撐不下去了......<br>抱歉了伙伴，我要撤退了。"""
IncidentJsApcBeginEvo#2,"""/toge /ci3 2 這這、這是怎麼了啊！<br>超大的敵意反應！？<br>伙伴，當心點！"""
IncidentJsApcSuccessEvo#2,"""/ci2 1 呼，總算是撐過去啦。<br>謝啦，伙伴。多虧了你<br>才能度過這個難關。"""
IncidentJsApcBegin#3,"""/mn6 /ci2 2 不、不好意思。<br>這裡敵人太多了。<br>可以請您幫幫忙麼！"""
IncidentJsApcSuccess#3,"""/mn15 /ci2 1 成功了！　我們成功了呢！<br>謝謝您！<br>真的幫了我一個大忙！"""
IncidentJsApcFailure#3,"""/mn7 對不起......我無法再戰了。<br>請讓我撤退。<br>真的很對不起......"""
IncidentJsApcBeginEvo#3,"""/mn2 /ci2 2 哇哇，好強烈的反應！<br>看來會有很大隻的敵人<br>跑出來喔！"""
IncidentJsApcSuccessEvo#3,"""/mn15 /ci2 1 成功了！　我們成功了呢！<br>謝謝您！<br>真的幫了我一個大忙！"""
IncidentJsApcBegin#4,"""/ci4 5 啊啊，是你啊<br>如果你方便，可以幫我一下麼？<br>數量這麼多，有點麻煩。"""
IncidentJsApcSuccess#4,"""/ci2 1 好，這樣就搞定了。<br>也收集到不錯的資料了，謝啦。"""
IncidentJsApcFailure#4,"""抱歉，我要撤退了。<br>畢竟就算在這裡硬撐<br>也得不到什麼好處。"""
IncidentJsApcBeginEvo#4,"""/ci4 5 嗯…這個反應，是新面孔麼。<br>嘛，小心點前進吧。"""
IncidentJsApcSuccessEvo#4,"""/ci2 1 好，這樣就搞定了。<br>也收集到不錯的資料了，謝啦。"""
IncidentJsApcBegin#5,"""/ci2 1 啊，啊啊！<br>您來得正是時候！<br>救命啊，救救我─！"""
IncidentJsApcSuccess#5,"""/ci2 1 呼......看來總算是平安<br>結束了，真是太好了。<br>謝謝您。幫了我一個大忙。"""
IncidentJsApcFailure#5,"""嗚嗚......我只是在找老師而已<br>怎麼會碰上這種事......<br>我要撤退了......"""
IncidentJsApcBeginEvo#5,"""/ci4 1 這、這個反應......是新的敵人！？<br>嗚嗚，真想趕快逃走......<br>我們還是趕快逃吧......"""
IncidentJsApcSuccessEvo#5,"""/ci2 1 呼......看來總算是平安<br>結束了，真是太好了。<br>謝謝您。幫了我一個大忙。"""
IncidentJsApcBegin#6,"""/ci2 1 真是的，看不下去了。<br>所謂有始有終嘛<br>就讓我幫你一把吧。"""
IncidentJsApcSuccess#6,"""/ci2 3 哎，差不多就是這樣了吧<br>讓我省了不少力呢。<br>再會啦。"""
IncidentJsApcFailure#6,"""嗯......使不出平常的實力。<br>是不是應該先回去一趟，<br>確認一下身體的狀況呢......"""
IncidentJsApcBeginEvo#6,"""/ci1 2 哎呀，都已經被打成這樣了<br>還是沒學乖啊。"""
IncidentJsApcSuccessEvo#6,"""/ci2 3 哎，差不多就是這樣了吧<br>讓我省了不少力呢。<br>再會啦。"""
IncidentJsApcBegin#7,"""/toge /ci3 1 ......真是，我看不下去了！<br>我來幫你，快點<br>把這些傢伙解決掉吧！"""
IncidentJsApcSuccess#7,"""/ci2 2 解決乾淨了<br>......我要走了<br>不要太勉強自己喔。"""
IncidentJsApcFailure#7,"""唔......看來我還太嫩呢。<br>對不起，我要先撤退了。"""
IncidentJsApcBeginEvo#7,"""APC共闘発展開始"""
