un_044010_0001#0,"""A.P.241/？/？/？"""
un_044010_0010#0,"""沒關係的，不管是誰都是從新手開始的嘛！<br>只要到了明天就會變熟練的！就是老手了！<br>甭管什麼事，只要肯試試就肯定能變熟練的！"""
un_044010_0020#0,"""所以就當是上一次當！<br>這次就來試試凌客嘛！"""
un_044010_0030#0,"""可就算你這麼說……"""
un_044010_0040#0,"""來嘛來嘛！現在加入還可獲贈<br>我使用過的超趁手飛翔劍<br>非常非常划算哦！"""
un_044010_0050#0,"""你這拉人的方式也太奇怪了吧！？<br>都說了我根本就不是ARKS<br>這種職業我多半是用不好的……"""
un_044010_0060#0,"""……啊！<%me>！<br>幫、幫幫我！"""
un_044010_0070#0,"""啊啊，<%me>大人！<br>這位小姑娘原來是<br><%me>大人您的熟人呀！"""
un_044010_0080#0,"""既然如此，你就更應該來<br>試一試凌客了！"""
un_044010_0090#0,"""畢竟這可是<%me>大人<br>親自創立的職業嘛！"""
un_044010_0100#0,"""欸，真的麼！？"""
un_044010_0110#0,"""假的。"""
un_044010_0120#0,"""佐賀先生！你倒是配合我一下嘛！"""
un_044010_0130#0,"""我怎麼可能去肯定你說的假話？"""
un_044010_0140#0,"""咳咳……雖然說創立確實是有點誇張了<br>不過，就算是說凌客是<%me>大人<br>一手培養起來的也不為過哦！"""
un_044010_0150#0,"""……真的？"""
un_044010_0160#0,"""您說，您說是不是呀！"""
un_044010_0170#0,"""一手培養起凌客的是香取"""
un_044010_0180#0,"""一手培養起凌客的是佐賀"""
un_044010_0190#0,"""一手培養起凌客的是這兩位"""
un_044010_0200#0,"""欸……！居然能被<br><%me>大人如此評價……<br>我真是太感動了……我活著真是太好了……！"""
un_044010_0210#0,"""<%me>……<br>你就別太捉弄香取了。<br>她還是那樣，一點都沒成長。"""
un_044010_0220#0,"""喂喂喂！<br>同意這句話也太失禮了吧！"""
un_044010_0230#0,"""不過也是啊……反正我就是個<br>整天喜歡渾水摸魚的廢物……<br>就算沒有我也無所謂……"""
un_044010_0240#0,"""……真是的。<br>雖然我倒也不會完全否定<br>可你這麼說未免也多少誇張了點。"""
un_044010_0250#0,"""哎、哎呀，確實<br>倒也是可以這麼說啦－－！"""
un_044010_0260#0,"""可被當著面這麼誇<br>我還真有點害羞呢，佐賀先生！"""
un_044010_0270#0,"""是啊。<br>畢竟這“兩位”<br>指的是我和<%me>兩個人嘛。"""
un_044010_0280#0,"""佐賀先生！？"""
un_044010_0290#0,"""……可以說，凌客非常順利地<br>在全體ARKS間得到了廣泛的認識。"""
un_044010_0300#0,"""這份普及，絕不是只憑著誰獨自一人的力量完成的。<br>它多虧了<%me>的幫助<br>也多虧了香取的影響。這一點我還是要承認的。"""
un_044010_0310#0,"""佐賀先生……"""
un_044010_0320#0,"""……恩？<br>說我只有“影響”<br>意思是我沒怎麼幫上忙咯？"""
un_044010_0330#0,"""姐姐……所以，是怎麼回事呀？"""
un_044010_0340#0,"""大概是說，這個小姐姐是個騙子吧？"""
un_044010_0350#0,"""好過分！"""
un_044010_0360#0,"""這兩個人並不是ARKS吧？<br>……看來你還是老樣子<br>被麻煩的事情纏上身了啊。"""
un_044010_0370#0,"""我倒是不會制止你。<br>反正你愛助人為樂的性子，就跟香取的宣傳活動一樣<br>再怎麼勸說都不會消停的，你說是不是？"""
