st_057090_0010#0,"""在克拉麗莎的帶領下<br>守護輝士終於到達了伊斯＝阿魯斯。"""
st_057090_0020#0,"""一邊面對預想之外的敵人<br>一邊擊碎它們、向首都前進。"""
st_057090_0030#0,"""但是、道在路上等待的<br>不只是魔神城。"""
st_057090_0040#0,"""【双子】的眷属。<br>甚至還有玩具系黑暗種的身影。"""
st_057090_0050#0,"""守護輝士爲了儘快解決這個異常事態<br>而加緊行動。"""
st_057090_0060#0,"""數次在那裏開心地阻擋<br>與芙洛一模一樣的【双子】。"""
st_057090_0070#0,"""簡直就像遊戲一樣。<br>就像是回憶過去的某一天一樣。"""
st_057090_0080#0,"""是埋伏嗎。<br>……要說起來好像是<br>故意碰头的样子。"""
st_057090_0090#0,"""啊、來了來了、來了啊！<br>我一直在等你！"""
st_057090_0100#0,"""呵呵呵、哈哈哈！<br>沒有玩的對象！"""
st_057090_0110#0,"""來來來玩吧、大家一起玩吧！<br>現在不來玩的話以後就玩不了了<br>快來、快來、快來玩！"""
st_057090_0120#0,"""沒有敵對的心<br>只是單純地想玩……"""
st_057090_0130#0,"""呵呵、呵呵呵呵！<br>無論如何、都很開心呢！<br>和以前完全不一樣！"""
st_057090_0140#0,"""検査好無聊！<br>検査結束了！"""
st_057090_0150#0,"""不要說任性的話。<br>不經意間弄壞東西<br>對你來說也不是本意吧。"""
st_057090_0160#0,"""如果那是東西的話還可以。<br>但總有一天會把人弄壞的。<br>……我不喜歡那樣。"""
st_057090_0170#0,"""嘁……那麼、克拉麗莎！<br>在檢查期間來說說話吧！"""
st_057090_0180#0,"""說話？"""
st_057090_0190#0,"""見到了嗎、厲害嗎？<br>我聽到了、到處都有<br>大家在說話！"""
st_057090_0200#0,"""水變成了克拉麗莎的形狀！<br>革命性的！　說是。<br>已經引起了很大的騷動。"""
st_057090_0210#0,"""啊啊、是去那顆行星時的事。"""
st_057090_0215#0,"""那是……對、我很驚訝。"""
st_057090_0220#0,"""而且、帶來的知識也<br>同樣令人吃驚。"""
st_057090_0230#0,"""我們的技術實現了飛躍性的進化。<br>壽命也會延長、研究也會進展。"""
st_057090_0240#0,"""恐怕還有、芙洛。<br>你擁有異能的原因也是……<br>一定在她教給我的東西里。"""
st_057090_0250#0,"""她？　那個水、是女孩子嗎？"""
st_057090_0260#0,"""……因為是以我的姿態出現的<br>如果不是女孩子的話、真可惜。"""
st_057090_0270#0,"""啊啊、真開心。<br>果然玩得很開心。<br>必須做得更多、更多。"""
st_057090_0280#0,"""現在的是……"""
st_057090_0290#0,"""芙洛的過去……？"""
st_057090_0300#0,"""<%me>桑？<br>你看到了什麼？"""
st_057090_0310#0,"""像盧瑟的時候那樣的……場景。<br>然後、那個內容……"""
st_057090_0320#0,"""芙洛君和克拉麗莎桑的過去。<br>那是……在光子族遇見<br>錫安之前的……？"""
st_057090_0330#0,"""……很遺憾、關於那段記憶<br>我什麼都不知道。<br>芙洛恐怕、也是如此。"""
st_057090_0340#0,"""但是、如果說有共同點的話<br>那就是芙洛天生就擁有<br>圧倒性的能力。"""
st_057090_0350#0,"""因此、那孩子被選爲第一象徵<br>爲國家獻出了<br>自己的身體……"""
st_057090_0360#0,"""抓緊吧、守護輝士様。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
