pr_043010_0010#0,"""……可惡！<br>可惡，可惡可惡！"""
pr_043010_0020#0,"""那是什麼啊，那都是什麼啊！<br>我完全沒聽說過會有這種東西……！"""
pr_043010_0030#0,"""我堂堂亞贄萩斗……！<br>我這被選中之人……！<br>居然會完全被那傢伙搶了先手……！！"""
pr_043010_0040#0,"""這樣下去我就沒臉去見聖母了……<br>更何況，這還關係到我的尊嚴……！"""
pr_043010_0050#0,"""……但還沒結束！<br>我還並沒有輸！"""
pr_043010_0060#0,"""我的軍隊是不滅之軍！<br>你說是不是啊，翡翠平板！"""
pr_043010_0070#0,"""要是之前那些不夠<br>那就只需要再創造出更強<br>更厲害的東西就行了！不是嘛！"""
pr_043010_0080#0,"""……來吧，給我吸，給我吸收以太！<br>翡翠平板！"""
pr_043010_0090#0,"""你是我創造出來的最佳傑作！<br>你的力量可遠遠不止如此！"""
pr_043010_0100#0,"""就從我身邊展翅高飛<br>展示出你的力量吧，翡翠平板！<br>你的具現……是沒有極限的！"""
pr_043010_0110#0,"""呵呵呵，哈哈哈哈！<br>哈哈哈哈哈哈！！"""
