st_057060_0010#0,"""不是……人類嗎？"""
st_057060_0020#0,"""你不是……威倫皇帝的弟弟<br>埃里米爾吗！？<br>而且你、應該已經死了！"""
st_057060_0030#0,"""……哎、真是博識啊。<br>最擅長情報的伊斯＝阿魯斯。<br>我們的事情也被泄露了嗎。"""
st_057060_0040#0,"""即便如此、到此爲止的事情<br>你還不知道吧？"""
st_057060_0050#0,"""啊！"""
st_057060_0060#0,"""克拉麗莎！"""
st_057060_0070#0,"""芙洛！"""
st_057060_0080#0,"""哎、礙事！"""
st_057060_0090#0,"""伊斯＝阿魯斯的首領、這個國家的象徵。<br>你、有喜歡國家的權利。"""
st_057060_0100#0,"""你不是還想玩嗎？<br>有更想做的事情嗎？<br>那麼、就按照自己的想法去做吧。"""
st_057060_0110#0,"""你有那麼強大的力量。<br>使用方法、你應該已經知道了。"""
st_057060_0120#0,"""力量……？<br>使用、方法……？"""
st_057060_0130#0,"""是的。<br>你的心中<br>應該有那個記憶。"""
st_057060_0140#0,"""讓我、把它解放出來吧。"""
st_057060_0150#0,"""芙洛！　芙洛！"""
st_057060_0160#0,"""之後、芙洛就像用粘土來<br>製造玩具一樣、魔神城和<br>魔物被創造出來、持续到现在。"""
st_057060_0170#0,"""……我只能逃跑。<br>看着那個孩子對着我的表情<br>只能逃跑……"""
st_057060_0180#0,"""克拉麗莎桑……"""
st_057060_0190#0,"""讓芙洛變得奇怪的是<br>威倫皇帝的弟弟埃里米爾……"""
st_057060_0200#0,"""他、應該是在艾匹克<br>被瑪露桑幹掉了啊……"""
st_057060_0210#0,"""活了下來？"""
st_057060_0220#0,"""偽物？"""
st_057060_0230#0,"""……我不知道。<br>是活下來了呢、還是假借其名<br>情報太少了啊、真是的。"""
st_057060_0240#0,"""克拉麗莎桑、伊斯＝阿魯斯<br>国内現在是什麼情况？"""
st_057060_0250#0,"""……我也不知道。<br>好不容易從隱藏通道逃走。"""
st_057060_0260#0,"""……只是、被那些魔物們吞噬了的<br>伊斯＝阿魯斯的首都、全滅<br>大概是接近於此的狀態吧。"""
st_057060_0270#0,"""伊斯＝阿魯斯的魔神城和魔物種<br>全部以芙洛爲基礎<br>現在也持續增殖着。"""
st_057060_0280#0,"""如果就這樣放任不管的話<br>國家的一切都會被填滿吧。<br>尋找遊戲對象、變成魔物群。"""
st_057060_0290#0,"""爲了阻止那個情况……<br>只能停止作為元兇的芙洛。"""
st_057060_0300#0,"""昆特的守護輝士。<br>……你的力量<br>請一定要借給我。"""
st_057060_0310#0,"""拯救了威倫和艾匹克的<br>你的力量、請再次……<br>無論如何……"""
st_057060_0320#0,"""……爲了拯救、芙洛。"""
st_057060_0330#0,"""當然"""
st_057060_0340#0,"""……能救得了嗎"""
st_057060_0350#0,"""……毫無疑問必須想辦法<br>解決那種狀況。<br>我也對合作沒有異議。"""
st_057060_0360#0,"""但是……"""
st_057060_0370#0,"""……我不知道。<br>甚至不知道這是否可行。"""
st_057060_0380#0,"""……拯救不是指<br>拯救生命。<br>是那孩子的靈魂。"""
st_057060_0390#0,"""為了國家獻出自己的孩子<br>……不能成為消滅國家的惡魔。"""
st_057060_0400#0,"""……怎麼讓他停止呢。"""
st_057060_0410#0,"""如果是交戰的話<br>無論怎麼打倒、都超不過<br>復活増殖的速度。"""
st_057060_0420#0,"""如果不一口氣打擊增殖的中心<br>這場災難就不會停止。"""
st_057060_0430#0,"""也就是說、對心臓部位的強襲嗎。"""
st_057060_0440#0,"""是的。<br>而且、這裏有一條通往<br>心臓部位的隱藏通道。"""
st_057060_0450#0,"""比起正面交鋒<br>應該更有勝算。"""
st_057060_0460#0,"""儘管如此、還是有不同尋常的數字<br>在等着我們……"""
st_057060_0470#0,"""……如果芙洛是追求玩伴的心<br>成爲了行動原理的話<br>那就有辦法了。"""
st_057060_0480#0,"""昆特軍向伊斯＝阿魯斯進攻<br>在國境線擴大戰線、吸引敵人。<br>進行一場持久戰。"""
st_057060_0490#0,"""在此期間、守護輝士進行強襲。<br>直擊心臟部位、停止增殖。<br>……怎麼樣。"""
st_057060_0500#0,"""明白了"""
st_057060_0510#0,"""……危険"""
st_057060_0520#0,"""……那麼、這次就分開了。<br>祈禱你平安無事的同時<br>我也會竭盡全力做好我的責任和義務。"""
st_057060_0530#0,"""那是彼此彼此。<br>不要說一起去<br>就請當作我的成長。"""
st_057060_0540#0,"""昆特國王哈莉艾特……<br>守護輝士……衷心感謝。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
