st_056070_0010#0,"""舞臺移動到昆特西方的國家。<br>神國艾匹克。"""
st_056070_0020#0,"""在嚴酷的沙漠的最中心<br>有一個以巨大的綠洲爲中心所建立的<br>僅此一個，信仰着絕對的神的國家。"""
st_056070_0030#0,"""艾匹克神王瑪露嘉蕾妲<br>正一臉無聊得聽着關於在領國昆特<br>發生的一連串騷動的報告。"""
st_056070_0040#0,"""……就是這樣的狀況<br>昆特的國威正在變強……"""
st_056070_0050#0,"""已經夠了。<br>簡單來說就是昆特打倒了威倫<br>抑制了自己的內亂是吧？"""
st_056070_0060#0,"""……不愧是神王，理解就是快。<br>就是這樣的，神王大人。"""
st_056070_0070#0,"""要補充的話就是，向各國送出了<br>締結破棄徒花的條約請願書……"""
st_056070_0080#0,"""徒花？ 啊啊，那個令人不快的花。<br>那種東西怎樣都好啦。"""
st_056070_0090#0,"""……啊－－啊，真是的<br>令人不爽。"""
st_056070_0100#0,"""令人不爽是指什麼呢？"""
st_056070_0110#0,"""什麼都是昆特，這不是很不公平麼？<br>國家的歷史又很長。<br>還有劍之巫女和守護輝士什麼的出現。"""
st_056070_0120#0,"""稍微分給我一點兒<br>誰都不會說什麼的，不是嘛？<br>這－－除了沙漠就沒有其他東西的地方。"""
st_056070_0130#0,"""我們家也是有神啊，神！<br>全－－部都被神解決了。"""
st_056070_0140#0,"""娛樂是必須的！ 嗯！<br>拯救國家危機的守護輝士和我的活躍！<br>像這樣的厲害的人！"""
st_056070_0150#0,"""嗯嗯，您說得對。<br>那麼，要不要試試呢？<br>召喚那個守護輝士。"""
st_056070_0160#0,"""召喚？<br>能做到那種事麼？"""
st_056070_0170#0,"""據說昆特的守護輝士<br>是從異世界來訪的。"""
st_056070_0180#0,"""如果有神王瑪露嘉蕾妲的尊貴力量的話<br>一定會有和那個一樣等級的存在前來的。"""
st_056070_0190#0,"""……唔嗯。<br>聽起來挺有意思的嘛。"""
st_056070_0200#0,"""你偶爾也會想出點兒好點子嘛。<br>把之前那個無聊的人換掉<br>真是太正確了。"""
st_056070_0210#0,"""太看得起我了。<br>那麼就快點兒開始準備吧。"""
skit01#0,"""The Apprentices"""
skit02#0,"""被沙漠召喚的【若人】們"""
name01#0,"""神官"""
name02#0,"""？？？"""
