IncidentName#0,"""擊退$(0)！"""
TrialBeginMsg#0,"""打倒$(0)！"""
TrialAbstract#0,"""$(0)擊退"""
NpcComOnBegin#0,"""緊急聯絡<br>$(0)似乎在一片吵鬧中出現了<br>這會成為調查的阻礙，快去迎擊它。"""
NpcComOnBegin2#0,"""有效利用上附近的「ｘｘｘ」<br>雖然它身形龐大但只要瞄準它的嘴部<br>應該就是有效的"""
NpcComOnSuccess#0,"""偵測到了$(0)的撤退<br>總算是給想辦法擊退了。<br>繼續進行調查吧。"""
NpcComOnBegin#1,"""偵測到了$(0)的出現。<br>看來這附近就是它的地盤了。<br>各位，別掉以輕心。"""
NpcComOnBegin2#1,"""和$(0)交戰時<br>要靈活運用周圍的大炮。<br>應該能讓戰況向有利的方向發展。"""
NpcComOnSuccess#1,"""偵測到目標反應消失。<br>幹得漂亮。"""
NpcComOnBegin#2,"""緊急聯絡<br>$(0)似乎在一片吵鬧中出現了<br>這會成為調查的阻礙，快去迎擊它。"""
NpcComOnBegin2#2,"""有效利用上附近的「ｘｘｘ」<br>雖然它身形龐大但只要瞄準它的嘴部<br>應該就是有效的"""
NpcComOnSuccess#2,"""偵測到了$(0)的撤退<br>總算是給想辦法擊退了。<br>繼續進行調查吧。"""
NpcComOnBegin#3,"""感知到了$(0)的反應。<br>各位，做好警戒。"""
NpcComOnBegin2#3,"""在$(0)，收到了<br>存在於現場的大炮有效的報告。<br>請根據戰況進行靈活運用。"""
NpcComOnSuccess#3,"""敵性存在的反應消失。<br>任務完成了。"""
