un_049050_0010#0,"""あ、<%me>さん！<br>ちょうどいいところに！"""
un_049050_0020#0,"""ふふふ……私、ついに成し遂げましたよ！<br>地球側の様子を伺う仕組み、完成です！"""
un_049050_0030#0,"""簡単にいってしまえば、ヒツギさんたちの<br>様子を映像情報で確認できるようにしたんです！<br>……いやー、苦労しましたよ。"""
un_049050_0040#0,"""１．覗きは良くない"""
un_049050_0050#0,"""２．興味深い"""
un_049050_0060#0,"""いえいえいーえ。<br>繰り返しますが、覗きではありません！<br>これは、れっきとした、情報収集です！"""
un_049050_0070#0,"""ふふ、そうですよね！<br><%me>さんも<br>向こうの様子が、気になりますよね！"""
un_049050_0080#0,"""地球の脅威は過ぎ去ったとはいえ<br>エーテルは広まったままですし<br>幻創種もたびたび発生しています。"""
un_049050_0090#0,"""もたらされる情報で動くのではなく<br>可能な限り、状況を注視し<br>機先を制して動き出す。これも肝要です。"""
un_049050_0100#0,"""そのための、仕組みなんですよ！<br>決して覗き目的ってわけでは……ありません！"""
un_049050_0110#0,"""さてさてー……それではどーんな<br>情報が収集できるか、試してみましょう。"""
un_049050_0120#0,"""はー……やっぱりお風呂は生き返るー……<br>この学校のいいところは、ひとえに寮の<br>お風呂の大きさにあるよねー……"""
un_049050_0130#0,"""うん、まあ、それは同意なんだけど……"""
un_049050_0140#0,"""なんでいるのよ、あんたたち。"""
un_049050_0150#0,"""あたしたちがどこにいようが<br>どこの風呂入ろうが、あんたに文句言われる<br>筋合いなんて、１００％なーい。"""
un_049050_0160#0,"""……付け加えるなら、こう見えて寮長だから。"""
un_049050_0165#0,"""寮長になったってのも納得いかないの。<br>ちょうど交代の時期だったとはいえ<br>タイミング良すぎでしょ？"""
un_049050_0170#0,"""あのねえ、その物言い、教師に失礼でしょ。<br>あたしたち、ただでさえ年上なんだから<br>きちんと敬意を払いなさい、生徒会長。"""
un_049050_0180#0,"""やーだよ。<br>別にあたしの担任でもないしー。"""
un_049050_0190#0,"""今度のテスト、あんたのだけ<br>２００％難しくしてあげようか？"""
un_049050_0200#0,"""ふん、やってみなさいよ？<br>真っ向勝負で満点とってみせるから。"""
un_049050_0210#0,"""お二人とも。<br>風呂は戦場ではありません。<br>決して、暴れないようにお願いしますよ。"""
un_049050_0220#0,"""……はい。"""
un_049050_0225#0,"""……はい。"""
un_049050_0230#0,"""ちょっと、どうしてファレグがいるのよ！<br>あれこそまるっきり部外者じゃない！<br>なんとか言ってきなさいよ生徒会長！"""
un_049050_0240#0,"""何度言ってもきかないのよ！<br>っていうかそういうのは教師の仕事でしょ！<br>ほらオークゥ先生、行け行け！"""
un_049050_0250#0,"""まあたやってる。<br>飽きないなあ、二人とも。<br>なんだか似ててかわいいけど。ふふっ。"""
un_049050_0260#0,"""じー……"""
un_049050_0270#0,"""え、えっと、フルさん？<br>わたしになにか？"""
un_049050_0280#0,"""その、胸。"""
un_049050_0290#0,"""ふえっ！？"""
un_049050_0300#0,"""……胸、どうやって大きくしたの？<br>私ももっと、大きくしたい。"""
un_049050_0310#0,"""い、いやべつに<br>何かを意識したわけでもなくて……"""
un_049050_0320#0,"""……何食べてたの？\u3000何考えてたの？<br>どうやったの？\u3000どうやればいいの？<br>ねえ、ねえ、ねえ。"""
un_049050_0330#0,"""わ、わ、わ、わたしより<br>ファレグさんの方が大きいんだから<br>そっちに聞いてみたらいいんじゃないかなっ！"""
un_049050_0340#0,"""日々の訓練の賜物です。"""
un_049050_0350#0,"""そんなんででかくなってたまるか！"""
un_049050_0352#0,"""絶ッッッ対！"""
un_049050_0354#0,"""１００％！"""
un_049050_0356#0,"""ありえない！"""
un_049050_0360#0,"""……クゥ、いろいろやってるけど<br>全部効果なしだもんね。"""
un_049050_0370#0,"""うっさいよフル！<br>いいのよ、あんなのは１００％無駄な脂肪よ脂肪！<br>ほらヒツギ、あんたも何か言ってやりなさい！"""
un_049050_0380#0,"""いや、流石にあんたと一緒にされるのはちょっと。<br>ゼロとイチの間には絶対的な差があるって<br>どっかの新任教師さんに習ったし。"""
un_049050_0390#0,"""やかましい！<br>あいつらにくらべれば、あたしもフルも<br>あんたもぜーんぶ誤差よ誤差！"""
un_049050_0400#0,"""……誤差でかすぎだよ、クゥ。<br>あ、そういえばこの前、そんな文言の文句つけて<br>あのエンガって男の子の課題突き返してたよね。"""
un_049050_0410#0,"""な、なんでアイツの話が出てくるのよ！<br>それは関係ないでしょーが！"""
un_049050_0420#0,"""あー……申し訳ないけど<br>兄さんは大きい方が好きだと思うよ？"""
un_049050_0430#0,"""聞いてないっての！"""
un_049050_0440#0,"""ていうか男ってみんなそうじゃない？<br>ねえ、コオリ。"""
un_049050_0450#0,"""わ、わたしに振らないでよー！<br>男の人には興味ないし、わたしは<br>ヒツギちゃんぐらいのが好きだよー！"""
