un_012160_0010#0,"""啊，你好，午安。"""
un_012160_0020#0,"""咦......又要問哈德烈的事啊？<br><%me><br>看來你對他很關心呢。"""
un_012160_0030#0,"""他就是背叛者。<br>一字不多，<br>半字不減。"""
un_012160_0040#0,"""......所以，<br>沒有什麼好講的。"""
un_012160_0050#0,"""他也沒有什麼過去，<br>只是遵從命令而已。<br>沒錯，就像我這樣。"""
un_012160_0060#0,"""他的事情，就是這麼多。<br>抱歉無法提供你什麼參考。"""
un_012160_0070#0,"""逆向思考看看"""
un_012160_0080#0,"""想想他背叛的理由"""
un_012160_0090#0,"""逆向思考麼？<br>是說如果換做我，<br>什麼樣的情況下會決定背叛麼？"""
un_012160_0100#0,"""要我想想為何會背叛的理由麼？<br>把自己擺在他的立場，<br>會造成背叛的情況是......"""
un_012160_0110#0,"""我想想......<br>上頭發出難以遵從的命令？<br>不背叛就無法完成的命令？"""
un_012160_0120#0,"""還有，或許是......"""
un_012160_0130#0,"""命令他背叛，的情況。"""
un_012160_0140#0,"""......你等一等。<br>對我下達處置命令的人說<br>哈德烈已經背叛。"""
un_012160_0150#0,"""從那個緊張程度來看，<br>在他們的心目中已經認定了<br>這是背叛吧。"""
un_012160_0160#0,"""那麼......是誰的命令？<br>能夠跨越研究室的管理權限<br>行駛強大權力的人......"""
un_012160_0170#0,"""......只靠推理，還沒辦法<br>得到更多的答案。"""
un_012160_0180#0,"""但是，當時他沒有把我<br>和黑暗種一起吞下去的理由<br>還是想不透。"""
un_012160_0190#0,"""如果是單純的背叛，<br>照理說不應該放過<br>執行追擊的我才對......"""
un_012160_0200#0,"""哈德烈......<br>你到底在想什麼呢。<br>不，到底發生了什麼......？"""
un_012160_0210#0,"""A.P.238/4/14"""
