st_058110_0010#0,"""什麼……這樣的話……！<br>嘁、這樣就不能從外部<br>捕獲光子了嗎……"""
st_058110_0020#0,"""但是……白費力氣啊、ARKS。<br>如果外部不行、就吞噬內部。<br>這樣就足夠了、撒。"""
st_058110_0030#0,"""等等等等等等等一下！<br>總覺得敵人的氣勢沒有削弱！？<br>這是怎麼回事啊！"""
st_058110_0040#0,"""和剛才的反應完全不一樣！<br>這個是從那個繭直接產生的……？<br>這是用數量壓倒對手的作戰嗎！？"""
st_058110_0050#0,"""這個數量連神都想不到！<br>再這樣下去、我就要被敵人的波濤吞沒了！"""
st_058110_0060#0,"""還差一步……！"""
st_058110_0070#0,"""即便如此、也不能放棄……！"""
st_058110_0080#0,"""哈哈哈哈！<br>快看快看哈莉艾特！？<br>被徹底擊潰了！"""
st_058110_0090#0,"""圧倒性個體的潰敗、圧倒性的數量。<br>即使是守護輝士<br>也不能破開逼近的巨浪！"""
st_058110_0100#0,"""如果不做無謂的抵抗、就可以<br>更輕鬆地迎接死亡了<br>真是遺憾啊、前輩。"""
st_058110_0110#0,"""哈哈、哈哈哈哈！<br>哈哈哈哈哈哈哈哈！"""
st_058110_0120#0,"""哈哈哈哈哈哈…………哈？"""
st_058110_0130#0,"""……這個世界是<br>所有記憶聚集的場所。"""
st_058110_0140#0,"""奇蹟並不是、只爲了你<br>而發生的。"""
st_058110_0150#0,"""碾壓……沒有嗎？<br>誒、咦、為什麼……？"""
st_058110_0160#0,"""妖精、妖精……！<br>那個、那個、快看！"""
st_058110_0170#0,"""喂稍微慢點、沃爾夫！<br>不要搶走我的獵物！<br>明明差點就撕裂了！"""
st_058110_0180#0,"""……採取了高效率的手段。<br>從現狀來看這是最好的。<br>是吧、阿托莎。"""
st_058110_0190#0,"""阿托莎和沃爾夫……<br>……上一代的、六芒！？<br> 但是、為什麼會在這種地方！"""
st_058110_0200#0,"""……這還用說嗎。<br>因爲我在這裏把他們叫來的。"""
st_058110_0210#0,"""啊、阿露瑪桑！？"""
st_058110_0220#0,"""傻瓜。我不是阿露瑪。<br>那傢伙不是在神諭裏嗎。"""
st_058110_0230#0,"""呃……那麼、你是……！"""
st_058110_0240#0,"""初代……"""
st_058110_0250#0,"""克拉莉絲克蕾絲……"""
st_058110_0260#0,"""正確回答！<br>融入世界假裝神明<br>也不錯、情况就是這樣。"""
st_058110_0270#0,"""但阿露瑪也在外面努力著啊<br>我總不能什麼都不做吧。"""
st_058110_0280#0,"""……即使這個身體是夢幻之物<br>自己應該做的事也只有一件。"""
st_058110_0290#0,"""對了對了、正如沃爾夫所說。<br>眼前有敵人。<br>這就是理由、這就是理由而已！"""
st_058110_0300#0,"""全部停下來、切成碎末吧！"""
st_058110_0310#0,"""……讓有害的一切全都煙消雲散！"""
st_058110_0320#0,"""吃我這招，対王法姆法塔爾！"""
st_058110_0330#0,"""轟鳴吧，皇炮クオンタム！"""
st_058110_0340#0,"""偽装再現、歴史解放！<br>來吧、白錫克拉麗莎！"""
st_058110_0350#0,"""我的名字是、克拉莉絲克蕾絲！<br>我們在這裡創造真理！"""
st_058110_0360#0,"""喂、阿露瑪的朋友。<br>你接下來不是還有其他目的麼？"""
st_058110_0370#0,"""快走吧！<br>其他的敵人我會全部包下來的！"""
st_058110_0380#0,"""對我胡說八道的笨蛋國王！<br>你就在這裡胡鬧吧！<br>這是神的命令！　不服從就要神罰！"""
st_058110_0390#0,"""呀！　神也太霸道了！？"""
st_058110_0400#0,"""笨蛋、崇拜我之類的<br>都是你們的錯！"""
st_058110_0410#0,"""ARKS也一樣、都是笨蛋！<br>因爲崇拜我、所以阿露瑪犧牲了！"""
st_058110_0420#0,"""不要管那些笨蛋就好了<br>我一直這樣說啊！"""
st_058110_0430#0,"""儘管如此、阿露瑪還是說想要幫助他們！<br>說到這裏也沒辦法了！<br>因爲我想幫助阿露瑪！"""
st_058110_0440#0,"""阿露瑪的朋友。別選擇錯了。<br>不要讓我放弃ARKS。"""
st_058110_0450#0,"""讓我相信你、至今爲止的你！"""
name01#0,"""初代克拉莉絲克蕾絲"""
name02#0,"""阿托莎"""
name03#0,"""沃爾夫"""
