IncidentName#0,"""討伐稀有敵人"""
TrialBeginMsg#0,"""打倒稀有敵人！"""
TrialAbstract#0,"""打倒稀有敵人！"""
TargetName#0,"""將所有討伐對象"""
NpcComOnPreBegin#0,"""確認目標達成……不對，這是<br>偵測到其他的敵人。<br>各位請注意四周。"""
NpcComOnBegin#0,"""偵測到稀有物種。<br>請各位進行處置。"""
NpcComOnSuccess#0,"""辛苦了。<br>感謝各位的迅速處置。"""
NpcComOnPreBegin#1,"""確認目標達成……不對，等等。<br>四周還有反應。<br>別鬆懈了。"""
NpcComOnBegin#1,"""似乎是稀有物種……<br>命各位迅速處置。"""
NpcComOnSuccess#1,"""反應完全消失。<br>雖是意外來襲，但能擊退真是太好了。"""
NpcComOnPreBegin#2,"""確認目標達成……啊勒？<br>好像還有敵人的反應……<br>注意注意，請小心~！"""
NpcComOnBegin#2,"""唔唔，好像連稀有敵人<br>也來了！<br>請各位處置~！"""
NpcComOnSuccess#2,"""怪事還真不少啊。<br>總之辛苦了！"""
NpcComOnPreBegin#3,"""目標達成を確認……いえ<br>さらなる敵性反応を感知。<br>すぐ近くです。警戒を。"""
NpcComOnBegin#3,"""データによると、新たに出現した<br>敵性存在は、希少種のようです。<br>適時対処を。"""
NpcComOnSuccess#3,"""敵性存在の反応、完全消失。<br>不意の襲撃ながら、見事な対応でした。"""
NpcComOnPreBegin#4,"""目標達成を確認……ん、あれ？<br>なんだか不思議な反応があります。<br>注意してもらえますか。"""
NpcComOnBegin#4,"""あ！\u3000これ、希少種の反応なんですね！<br>対処をお願いします！"""
NpcComOnSuccess#4,"""お疲れさまでした！<br>おかげさまで、新しいデータを<br>集めることができました！"""
NpcComOnPreBegin#5,"""目標達成を確認……ん、あれ？<br>なんだか不思議な反応があります。<br>注意してもらえますか。"""
NpcComOnBegin#5,"""あ！\u3000これ、希少種の反応なんですね！<br>対処をお願いします！"""
NpcComOnSuccess#5,"""お疲れさまでした！<br>おかげさまで、新しいデータを<br>集めることができました！"""
