st_039020_0001#0,"""A.P.239/5/10/10:30"""
st_039020_0010#0,"""……噂以上だな、壊世区域って。<br>こんなとんでもないのばっかり<br>住み着いてるのかよ。"""
st_039020_0020#0,"""壊世区域が惑星に馴染みきったら<br>こんなものじゃすまないわよ。<br>……そうでしょう？"""
st_039020_0030#0,"""そんなのわからないわよ。<br>アタシは……アタシは<br>ダークファルスじゃないんだから。"""
st_039020_0040#0,"""……ねえ、ユクちゃん。<br>アナタはどうして<br>【若人】になったの？"""
st_039020_0050#0,"""……あたしが聞きたいぐらいよ。"""
st_039020_0060#0,"""ユク姉は巻き込まれただけだ。<br>自分からダークファルスになった<br>お前と一緒にするな。"""
st_039020_0070#0,"""自分から……か。<br>そうね、アタシは自ら望んで<br>ダークファルスになったのよね。"""
st_039020_0080#0,"""……少し、昔話をしましょうか。"""
st_039020_0090#0,"""世界で一番美しかったオンナの話。<br>美しさだけで頂点へ上り詰めた<br>……アタシの話。"""
st_039020_0100#0,"""アタシは、アタシの可愛さ、美しさ<br>器量、経験、全てに自信があった。<br>誰にも負ける気はなかった。"""
st_039020_0110#0,"""周りがどんどん落ちていくなか<br>アタシは残った。てっぺんに。"""
st_039020_0120#0,"""でも下からはどんどん手が伸びてくる。<br>アタシを引きずり下ろそうとする<br>欲にまみれた数多の手が。"""
st_039020_0130#0,"""迫ってくるのは、手だけじゃない。<br>アタシでも逆らいがたい、世の理。<br>それが「飽き」と「老い」。"""
st_039020_0140#0,"""栄枯盛衰。世は常にそういう流れよ。<br>そんなことわかっている、けどそれでも<br>アタシは舞台から落ちたくなかった。"""
st_039020_0150#0,"""クローニングや肉体の移し替えで<br>若さを保てばいい？"""
st_039020_0160#0,"""違う、それはアタシじゃない！<br>アタシはアタシのままで一番になった！"""
st_039020_0170#0,"""だからアタシは<br>アタシのままでないと<br>意味がないの……！"""
st_039020_0180#0,"""一大プロジェクトだった<br>シオンちゃんのコピー生成と失敗。<br>挙げ句の果ての【深遠なる闇】発生。"""
st_039020_0190#0,"""激動の時代。<br>でも、そんなのアタシにとっては<br>どうでもよかった。"""
st_039020_0200#0,"""アタシが戦っていた世界は別の世界。<br>嘘と疑念と妬心の渦巻く<br>美しくも恐ろしい世界。"""
st_039020_0210#0,"""誰よりも美しいまま<br>誰よりも魅力に満ち<br>誰よりも若くありたいと……！"""
st_039020_0220#0,"""アタシの願いはそれだけだった。<br>……それだけのはずだった、のに。"""
st_039020_0223#0,"""１．その願望を取り込まれた？"""
st_039020_0226#0,"""２．その結果が、今の時代だ"""
st_039020_0230#0,"""……はっきりとは<br>覚えてないけどね。"""
st_039020_0240#0,"""……わかってるわよ。<br>そんなの言われなくても<br>わかってる。"""
st_039020_0250#0,"""でも、アタシだけのせいじゃないわ。<br>アタシ以外にもダークファルスは生まれ<br>そいつらも暴れ回って……！"""
st_039020_0260#0,"""……でも、あたしたち【若人】が<br>行ってきたことは、消えないわ。"""
st_039020_0270#0,"""数多の星を侵食してきたこと……<br>【深遠なる闇】を復活させたこと……"""
st_039020_0280#0,"""……責任が、あるのよ。<br>あんたにも……あたしにもね。"""
st_039020_0290#0,"""姉ちゃん……"""
st_039020_0300#0,"""……気になることがあるの<br>奥に進みましょう。"""
