st_046040_0001#0,"""A.D.2028/4/19/13:30"""
st_046040_0010#0,"""呼，呼……哈哈，哈哈哈！<br>火継，你好有精神呀火継！<br>跟之前的那個布娃娃的樣子，根本完全不一樣嘛！"""
st_046040_0020#0,"""啊，啊啊……！好開心，我好開心啊……！<br>果然還是跟火継在一起最能讓我開心了！"""
st_046040_0030#0,"""喂，火継……你應該也看得出來<br>她好像有點怪怪的。"""
st_046040_0040#0,"""她的行為舉止一直就那樣啦。"""
st_046040_0050#0,"""……你倒是交友慎重點啊。"""
st_046040_0060#0,"""多管閒事。"""
st_046040_0070#0,"""不過，雖然冰莉她本來就是個奇怪的傢伙<br>但也並不是這副樣子……"""
st_046040_0080#0,"""呵呵，啊哈哈，啊哈哈哈哈哈哈哈！<br>好開心呀！能和火継一起玩<br>我真的是太開心啦！哈啊，哈啊！"""
st_046040_0090#0,"""而且，她那笑的樣子……<br>冰莉她這是在……！"""
st_046040_0100#0,"""幻創黑暗種！<br>切，怎麼還有剩的！"""
st_046040_0110#0,"""！？"""
st_046040_0120#0,"""冰莉！危險！"""
st_046040_0130#0,"""火継！"""
st_046040_0140#0,"""……火継？<br>火継你，救了我？"""
st_046040_0150#0,"""火継你明明是被操縱了才對啊……<br>……可為什麼要這麼做？"""
st_046040_0160#0,"""……當然是因為……我們是朋友啊！"""
st_046040_0170#0,"""朋……友……！<br>……對啊，我是火継的朋友<br>我不論何時，永遠都會陪伴在她的……身邊……！"""
st_046040_0180#0,"""……沒必要繼續思考下去了。<br>就靜下心來，閉上雙眼吧。"""
st_046040_0190#0,"""奧菲艾爾先生……"""
st_046040_0200#0,"""別太逞強，鷲宮冰莉。<br>若是失去了你，聖母是會傷心的。"""
st_046040_0210#0,"""而且……也就沒有任何人，能救你的朋友了。"""
st_046040_0220#0,"""……我明白了。"""
st_046040_0230#0,"""……你是？"""
st_046040_0240#0,"""見到有意識的你，這好像還是日本之後的第一次吧。<br>不過，我倒是已經把你的身體<br>仔仔細細地調查過一番就是了。"""
st_046040_0250#0,"""我名為奧菲艾爾＝哈佛。<br>是聖母星團的，水之使徒。"""
st_046040_0260#0,"""你對冰莉……做了什麼手腳是吧？"""
st_046040_0270#0,"""……看來你誤會了。<br>不管是我也好，還是聖母也罷，都只不過<br>是為了實現她的心願，而輕輕推了她一把而已。"""
st_046040_0280#0,"""她的目的是奪回你<br>並與你一同回歸到日常生活之中。"""
st_046040_0290#0,"""因此我呢，無非就是幫她打點了一番<br>讓她無需考慮那些有的沒的罷了。"""
st_046040_0300#0,"""你做的這些，就叫“操縱”了好吧！！"""
st_046040_0310#0,"""切！這王八蛋逃得還挺快！"""
st_046040_0320#0,"""……冰莉。"""
