un_047060_0010#0,"""あ、<%me>。<br>休憩中？\u3000ふふっ、わたしもだよ。"""
un_047060_0020#0,"""身体はきちんと浄化しきったけど<br>無理をすると、またフィリアさんに<br>怒られちゃうから、適度に休憩。"""
un_047060_0030#0,"""それに、わたしたちが休んでいた間に<br>アークスシップもいろいろ変わってるから<br>見て回るのだけでも、楽しいんだ。"""
un_047060_0040#0,"""……<%me>。<br>今の人、たしかサモナークラスの提唱者の<br>ピエトロさん、だよね？"""
un_047060_0050#0,"""……はぁ。<br>ああ、マイフレンドと伴侶さん。<br>守護輝士お二人で休憩中かい。"""
un_047060_0060#0,"""え、ええっ、伴侶って……！<br>そんなんだったらいいなって思う時もあるけど！<br>あるけど……そんなはっきり……！"""
un_047060_0065#0,"""え、ええっ、伴侶って……！<br>た、たしかに女性同士でも、連れって意味では<br>そうだけど……そんな風にいわれると……！"""
un_047060_0070#0,"""伴侶、いいことじゃないか。<br>子にせよ友にせよ、そういうものが<br>常にそばにあるべきだと思うよ。"""
un_047060_0080#0,"""はぁぁ……はぁ。"""
un_047060_0090#0,"""１．何かあったのか？"""
un_047060_0100#0,"""２．それじゃ"""
un_047060_0110#0,"""ああ、マイフレンド、聞いてくれるのかい！<br>やはり、持つべきものは友だね！"""
un_047060_0120#0,"""待ってくれよマイフレンド！<br>こういうときは「何かあったのか」って<br>聞いてくるべきだろう？\u3000友として！"""
un_047060_0130#0,"""……僕はね、ふと考えてしまったんだよ。<br>もしかしたら僕の愛する子達は、あんまり<br>僕のことを愛していないんじゃないか、とね。"""
un_047060_0140#0,"""ああマイフレンド！\u3000みなまで言わないでくれ！<br>わかってる！\u3000決してそんなことはないと<br>わかっているんだ！"""
un_047060_0150#0,"""……僕は、許せないんだよ。<br>一瞬でも、あの子達からの愛情を<br>疑ってしまった自分自身が、ね！"""
un_047060_0160#0,"""だからこの孤独は、僕自身への罰なのさ。<br>あの子達もそれを理解し、決して僕のことを<br>見ず、引き留めようともしなかった……！"""
un_047060_0170#0,"""１．それは無視されていたのでは？"""
un_047060_0180#0,"""２．そう思い詰めるな"""
un_047060_0190#0,"""しーっ！<br><%me>！\u3000言っちゃダメ！"""
un_047060_0200#0,"""そ、そうだよ！<br><%me>の言う通り！"""
un_047060_0210#0,"""それにさ、あなたが寂しいって思ってるなら<br>あなたのペットも同じ事を思ってるはずだよ。"""
un_047060_0220#0,"""こういうときは頷くの！<br>もうもうもう！"""
un_047060_0230#0,"""……あ、ほら！"""
un_047060_0240#0,"""はっ……え、エリザベートッ！"""
un_047060_0250#0,"""……い、いや、ダメだ！<br>僕は君達に合わせる顔がない！<br>僕は、最低な人間なんだ……ッ！"""
un_047060_0260#0,"""君達が僕に与える、殴打、刺突、噛撃の<br>形をとった、無償の愛情！"""
un_047060_0270#0,"""僕はその愛情を疑い<br>「もしかしてこれ嫌われてて攻撃されてる？」<br>と、一瞬でも考えてしまったんだ！"""
un_047060_0280#0,"""言葉を話せない君達が、それでも<br>身体を使い、伝えてくれる愛情を疑う。<br>……なんて、罪深い。サモナー失格だ！"""
un_047060_0290#0,"""……ああダメだ、エリザベート！<br>僕に近寄らないでくれ！<br>僕は……僕は……ッ！"""
un_047060_0300#0,"""ね、ねえ、<%me>。<br>わたしの気のせいじゃなければ<br>ピエトロさんから近づいてるよね、あれ……"""
un_047060_0310#0,"""え、エリザベート……！<br>君のその愛情表現……君はまだ、こんな僕を<br>許してくれるというのかい……！"""
un_047060_0320#0,"""……エリザベェートゥーーーッ！<br>ありがとうエリザベート！\u3000ありがとうッ！<br>僕はもう、決して君達の愛情を疑ったりしないよ！"""
un_047060_0330#0,"""はっははエリザベート！<br>いつもより強烈だね、君も寂しかったんだね！<br>よしよし、よしよしよし痛い痛い！"""
un_047060_0340#0,"""……さあ、帰って食事にしようじゃないか！<br>今日は愛情たっぷりの、ごちそうさ！"""
un_047060_0350#0,"""……ええと、なんて判断したらいいか<br>難しいところだけど、さ。"""
un_047060_0360#0,"""ずっと離れないってことは<br>ピエトロさんのペットたちも<br>きっと悪くは思ってないんだよね。"""
un_047060_0370#0,"""おおっとお、ダメだぞエリザベート！<br>ごちそうは家に帰ってからで、僕はごちそうでは……<br>って痛い痛いいたたたたたっ！！"""
un_047060_0380#0,"""…………たぶん。"""
