st_061030_0010#0,"""……<%me>。<br>聽說你能看見阿露瑪。"""
st_061030_0020#0,"""而且爲了她盡心盡力了。<br>……在此表示深深的謝意。"""
st_061030_0030#0,"""因爲我沒有資格、無法<br>用這雙眼睛捕捉到她的身影……<br>儘管如此我還是明白。"""
st_061030_0040#0,"""多虧了你們、她獲救了。<br>所以、謝謝。"""
st_061030_0050#0,"""我才要謝謝你"""
st_061030_0060#0,"""守護的是雷吉亞斯"""
st_061030_0070#0,"""……哈哈。<br>這樣的話<br>就變成了互相感謝了。"""
st_061030_0080#0,"""……是啊。<br>也許這次、我才能保護你。"""
st_061030_0090#0,"""即使阿露瑪死了、還是把<br>對ARKS的思念作為依靠。"""
st_061030_0100#0,"""正因爲如此、這次也要遵守。<br>她和我們的歸宿。<br>直到她能安心休息的那一天。"""
st_061030_0110#0,"""……我和瑪麗亞看不到她。<br>雖然不知道她在說什麼<br>但我知道、她很依賴你。"""
st_061030_0120#0,"""……她的事、就拜託你了。<br>有困難的話隨時拜託我。"""
