st_052080_0010#0,"""説起來，哈莉艾特説過我國<br>難道説在這個世界上還有其他國家？"""
st_052080_0020#0,"""是的，就是那樣的。"""
st_052080_0025#0,"""這個大陸很大<br>在東西南北都分別有着國家。"""
st_052080_0030#0,"""這裡是南方。<br>居於南邊，是自然和魔道的國家。<br>是昆特的国土。"""
st_052080_0040#0,"""我是已經去世的昆特国王<br>的第二個孩子。"""
st_052080_0050#0,"""１．為什麼引發戰爭？"""
st_052080_0060#0,"""２．是公主麼？"""
st_052080_0070#0,"""正如以前所説的<br>這個國家想要回到<br>應有的和平的姿態。"""
st_052080_0080#0,"""為此需要一個標誌。<br>為了人民，身為王族的我必須要站出來。"""
st_052080_0090#0,"""是王族的話<br>就這樣被抓住我也不在意。"""
st_052080_0100#0,"""但是，正因為是王族<br>所以也有不得不戰鬥的時候。"""
st_052080_0110#0,"""迷戀於徒花帶來的<br>財富和力量的宰相魯茲<br>發動了政變。"""
st_052080_0120#0,"""不止如此，父親失去了生命<br>我們也被國家流放。"""
st_052080_0130#0,"""現在魯茲掛著王的頭銜<br>強調要更加擴充戰力<br>人民的負擔更加重了。"""
st_052080_0140#0,"""我們作為王族<br>必須要推翻<br>現在魯茲的強權統治。"""
st_052080_0150#0,"""不能繼續讓這個國家<br>被力量誘惑，困於戰爭<br>成為愚蠢的國家。"""
st_052080_0160#0,"""……<%me>。<br>有想見您的人。<br>為了商量今後的事情。"""
