un_012470_0010#0,"""啊......<%me>"""
un_012470_0020#0,"""......來的正好。<br>你也過來聽聽吧。"""
un_012470_0030#0,"""要向各位報告的<br>是關於傑諾的行蹤。"""
un_012470_0040#0,"""面對黑暗法爾斯<br>且敗且戰的我們，<br>慢慢的被逼入窘境。"""
un_012470_0050#0,"""這時，他做了一個大膽的賭注。<br>那就是和我分開，誘引黑暗法爾斯<br>往更深的地區前進......"""
un_012470_0060#0,"""之後，便聽不到他的半點消息。<br>我拼了命的找，<br>但連痕跡都幾乎......"""
un_012470_0070#0,"""是......麼......"""
un_012470_0080#0,"""很明顯是自稱【巨躯】的黑暗法爾斯<br>盯上了他。<br>他就是想利用這點吧。"""
un_012470_0090#0,"""為什麼會對他<br>如此固執？雖然難以<br>理解其中緣由......"""
un_012470_0100#0,"""......理由的話，人家知道。<br>因為巨躯原本就是哥德哈特，<br>所以會執拗的追著傑諾。"""
un_012470_0110#0,"""而傑諾也清楚，<br>所以才會拿自己當誘餌......"""
un_012470_0120#0,"""......真的很對不起。<br>有我一路跟著，<br>竟然還會發生如此事態......"""
un_012470_0130#0,"""沒關係的，人家知道<br>傑諾一定會這麼做。"""
un_012470_0140#0,"""而且，他只是還沒歸隊，<br>說不定哪時候就突然跑回來了呢，<br>不要緊......不要緊的。"""
un_012470_0150#0,"""......嗯，是的。<br>我也是這麼相信。"""
un_012470_0160#0,"""對不起。<br>我還需要聯絡其他人，<br>就先告辭了。"""
un_012470_0170#0,"""......嗯？　怎麼了麼？<br>人家的臉上有東西麼？"""
un_012470_0180#0,"""不要緊的，人家沒事啦。<br>早就習慣等他了。"""
un_012470_0190#0,"""更重要的是，傑諾不在的時候<br>人家連他的那部分都要好好做！<br>當然，你也要幫人家喔！"""
un_012470_0200#0,"""......好，加油加油！"""
un_012470_0210#0,"""A.P.238/4/3"""
un_012470_0220#0,"""A.P.238/4/3"""
