st_012035_0005#0,"""【姐姐的小迷弟】<br>暫用文字"""
st_012035_0010#0,"""<%me><br>庫娜小姐，聽得見麼。"""
st_012035_0020#0,"""如同預期一樣、那匹暴走龍<br>在蘇菲亞巨蛋廣場内<br>停止活動了的樣子。"""
st_012035_0030#0,"""也不知道這效果<br>到底能堅持多久……"""
st_012035_0040#0,"""……沒問題的。<br>聽到歌聲的這段時間里<br>那家夥還沒有行動。"""
st_012035_0050#0,"""……而且、還有件事<br>有句話想要傳達給<br>那兩位當事人。"""
st_012035_0060#0,"""謎之暴走龍的數量迅猛增長<br>那個哈德烈暴走的原因<br>究竟是……"""
st_012030_om_0070#0,"""っ！？"""
st_012030_om_0080#0,"""先講結論。<br>研究室中發現極不人道的<br>實驗進行跡象。"""
st_012030_om_0090#0,"""剛開始似乎是以人造龍為對象，<br>但難以駕馭，不斷的失控......"""
st_012030_om_0100#0,"""似乎慢慢的就將實驗對象<br>轉到容易控管的人體身上。<br>光是這點就已經非常不得了......"""
st_012030_om_0110#0,"""......他們更繼續展開實驗，<br>而施予人或人造龍等被驗體的實驗<br>達到了極度殘酷的地步。"""
st_012030_om_0120#0,"""實驗的具體詳情<br>雖然已經佚失，<br>......但有大致的資訊也夠了。"""
st_012030_om_0130#0,"""不過，研究卻毫無進展。<br>人造龍易於失控，<br>人又不太容易超越極限。"""
st_012030_om_0140#0,"""這時發生了一項事故。"""
st_012030_om_0150#0,"""原本預定在人身上進行的新式實驗<br>改為以那匹龍......哈德烈為對象<br>進行了。"""
st_012030_om_0160#0,"""結果是理所當然。<br>哈德烈本身擁有的力量<br>直接失控，將研究室給......"""
st_012030_om_0170#0,"""......原本預定用在人的身上。"""
st_012035_0070#0,"""不需要説明，<br>六芒均衡卡斯拉。"""
st_012035_0080#0,"""我知道的……不<br>是聽到過的。想起來了。"""
st_012035_0090#0,"""研究室的崩壊……哈德烈的暴走……<br>非人道的人体實驗……"""
st_012035_0100#0,"""唔、那種事怎麼樣都好。"""
st_012035_0110#0,"""哈德烈……那家夥<br>為了守護我、竟然<br>捨棄了自己的身體……！"""
st_012035_0120#0,"""是……這樣啊。<br>那麼期待你們奮戰的表現。"""
st_012035_0130#0,"""我們走罷<br><%me>。<br>哈德烈在等著我們吶。"""
st_012035_0140#0,"""A.P.238/4/15/11:00"""
