IncidentName#0,"""迎擊紅黑血鳥！"""
TrialBeginMsg#0,"""擊破紅黑血鳥或是迴避牠<br>沒有在時間內擊破，被襲擊$(0)次以上即告失敗。"""
TrialAbstract#0,"""擊破紅黑血鳥<br>或是在限制時間內迴避"""
TrialOutbreak#0,"""$(0)遭到紅黑血鳥襲擊！"""
NpcComOnBegin#0,"""請保持冷靜聽我說。<br>紅黑血鳥已經確定出現了。<br>盡可能引開牠，撐過牠的攻擊。"""
NpcComOnBeginAtRareCase#0,"""請保持冷靜聽我說。<br>紅黑血鳥已經確定出現了。<br>盡可能引開牠，撐過牠的攻擊。"""
NpcComOnBeginEmplacement#0,"""使用光子加農砲<br>能夠殺死紅黑血鳥。<br>我將加農砲傳送給你，請以此展開迎擊。"""
NpcComOnSuccess#0,"""/face2 紅黑血鳥的反應全數消失。<br>辛苦了。"""
NpcComOnSuccessDestroy#0,"""/face2 已成功殺死紅黑血鳥。"""
NpcComOnFailure#0,"""/face4 紅黑血鳥造成極大損害！<br>已超出可容許的損害範圍......<br>太遺憾了。"""
NpcComOnTarget#0,"""$(0)！　請注意！<br>你被敵人盯上了！"""
NpcComOnTime1#0,"""紅黑血鳥的啓動時間<br>是有限的！<br>請所有人員盡量撐到最後！"""
NpcComOnTime2#0,"""就是這樣！　再過不久<br>紅黑血鳥就會停止活動！<br>請再撐一會兒！"""
NpcComOnHit#0,"""/face2 已確認光子加農砲具有確切效果。<br>果不其然，只要有它就能對抗<br>紅黑血鳥了。"""
NpcComDeadEmplacement#0,"""光子加農砲遭到破壞，<br>我再傳送一挺給您。"""
NpcComOnRepop#0,"""確認紅黑血鳥再度出現！<br>所有人員請加強周邊警戒。"""
