un_046020_0010#0,"""啊，<%me>！<br>我終於……又像這樣面對面見到你了！"""
un_046020_0020#0,"""因為我比你醒得早<br>再加上醒來之後，就一直在外面兜兜轉轉……<br>所以真的有種久違的感覺……！"""
un_046020_0030#0,"""啊哈哈……我們真是隔了太久沒見了<br>……那個那個，好為難啊。<br>要從哪裡開始說起比較好呀？"""
un_046020_0040#0,"""啊，對了，就從之前的事情說起吧！"""
un_046020_0050#0,"""謝謝你趕來幫了我。<br>那時能作戰的人就只剩我一個了……<br>所以說實話，我還稍微有點害怕呢。"""
un_046020_0060#0,"""那都多虧了火継"""
un_046020_0070#0,"""你很努力了"""
un_046020_0080#0,"""恩，確實都是多虧了火継<br>幫我們開闢出了一條路來<br>才讓<%me>你才得以趕過來的嘛。"""
un_046020_0090#0,"""……呵呵，誒嘿嘿。<br>總感覺……我這些努力都有價值了。"""
un_046020_0100#0,"""不過，這也都是靠大家的幫忙啦。<br><%me>你當然是如此<br>而且當時火継她……不也趕了回來嘛？"""
un_046020_0110#0,"""我之前本是想給火継打打氣的<br>但沒想到，似乎產生了反效果……<br>這讓我擔心了好一陣呢。"""
un_046020_0120#0,"""不過，她最後還是回來了……<br>而且她的眼神，也變得堅定了許多。"""
un_046020_0130#0,"""……所以今後，我們可得好好支持她<br>別讓她把什麼事都一個人擔著才行。"""
un_046020_0140#0,"""……啊，你剛才在看我是不是？<br>你想起了曾經的我是不是？"""
un_046020_0150#0,"""沒事的，我已經不會再走上歧途了。<br>因為要是發生了什麼，我是會立刻來找<br><%me>你幫忙的呀。"""
un_046020_0160#0,"""我已經，不再是孤身一人了。<br>……我絕不會忘記這一點，所以沒事的。"""
linewindow001#0,"""可以邀請瑪托依(EP4)作為夥伴加入隊伍了。"""
