st_055030_0010#0,"""......瓦爾納，還好吧。"""
st_055030_0020#0,"""......想也沒用。<br>儘管難以接受，但是也只能接受。<br>盧瑟大人發狂的事實。"""
st_055030_0030#0,"""哈莉艾特大人失蹤的消息不能泄露出去。<br>如果傳出去了的話<br>國家就會開始騷亂起來了。"""
st_055030_0040#0,"""所以，這次的搜索<br>必須要祕密地進行。<br>明白了吧，守護輝士殿下。"""
st_055030_0050#0,"""也就是說、只能靠<br>見過現場的我們來找的意思吧。"""
st_055030_0060#0,"""目的地之類的，有頭緒麼？"""
st_055030_0070#0,"""盧瑟大人從以前開始就是祕密主義者。<br>哈莉艾特大人的話還好，我的話<br>就完全猜不到了。"""
st_055030_0080#0,"""但是......發現了他們移動的痕跡。"""
st_055030_0090#0,"""在昆特新首都東北方向的山脈裏<br>發現了新的魔神城。"""
st_055030_0100#0,"""而且有報告說有<br>召喚出長着翅膀的未知魔物種。<br>這應該就是......"""
st_055030_0110#0,"""盧瑟一邊移動一邊召喚的魔神城。"""
st_055030_0120#0,"""我作爲哈莉艾特大人的副官。<br>爲了不讓王的失蹤被發現<br>必須要好好工作才行。"""
st_055030_0130#0,"""......能拜託你麼，守護輝士殿下。"""
st_055030_0140#0,"""沒問題"""
st_055030_0150#0,"""我們都加油吧"""
st_055030_0160#0,"""......那就拜託了！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
