IncidentName#0,"""浴火天使"""
TrialBeginMsg#0,"""拯救困在火場裡的等待救援者！"""
TrialAbstract#0,"""拯救困在火場裡的等待救援者！"""
NpcComOnBegin#0,"""在市區各處有許多人來不及逃跑<br>正在等待救援！<br>請即刻前往救援！"""
NpcComOnSuccess#0,"""/face2 所有發出信號的等待救援者<br>已確認救出<br>辛苦了！"""
NpcComOnFailure#0,"""繼續待在現場會有危險！<br>雖然風險很高，不過我們必須強制將所有等待救援者<br>傳送至據點！"""
NotifyPos#0,"""已確認等待救援者的位置。<br>請救出顯示在標記上的<br>等待救援者！"""
NotifyMethod#0,"""為了安全傳送等待救援者<br>滅火後，請調查等待救援者<br>將正確座標傳給我。"""
FirstTrans#0,"""已收到等待救援者的正確座標。<br>確認傳送完成！<br>請繼續救援活動！"""
RescueeFound#0,"""等待救援者受困在火場裡。<br>在大火中進行傳送會有危險。<br>請先將火勢撲滅。"""
GeneratorAdd#0,"""發現另一批等待救援者。<br>請救出所有人！"""
TimeLimitNear#0,"""等待救援者陷入危險狀況！<br>請盡速前往救援！"""
TimeLimitHurry#0,"""等待救援者的生命跡象岌岌可危！<br>請加快腳步！"""
RescueMethod#0,"""確認滅火成功。<br>調查等待救援者，<br>將正確座標傳給我。"""
NpcComOnBegin#1,"""市區內廣範圍地區<br>都有人等待救援。<br>請立刻前往救援。"""
NpcComOnSuccess#1,"""確認已傳送所有等待救援者。<br>表現得很好。"""
NpcComOnFailure#1,"""已經來不及了。<br>即使風險相當高，<br>我還是要強制傳送所有等待救援者！"""
NotifyPos#1,"""已確認等待救援者的位置。<br>我將它顯示在標記上。<br>請迅速前往救援。"""
NotifyMethod#1,"""為了安全傳送<br>需要正確的座標。<br>滅火後，必須與等待救援者做接觸。"""
FirstTrans#1,"""確認等待救援者的座標，傳送完成。<br>就照這樣救援所有人。"""
RescueeFound#1,"""發現等待救援者。<br>不先滅火，會提高傳送風險。<br>先把火撲滅，再進行救援。"""
GeneratorAdd#1,"""發現另一批等待救援者。<br>請火速前往救援。"""
TimeLimitNear#1,"""耗費太多時間了......<br>盡快進行救助。"""
TimeLimitHurry#1,"""再拖下去會有危險。<br>動作快！"""
RescueMethod#1,"""確認滅火成功。現在可以安全傳送人員了。<br>調查等待救援者，<br>將正確座標傳給我。"""
NpcComOnBegin#2,"""有很多人來不及逃離市區火災<br>正在等待救援！<br>請儘速前往救援！"""
NpcComOnSuccess#2,"""/face2 所有等待救援者<br>已確認救出！<br>辛苦了！"""
NpcComOnFailure#2,"""/face4 大家已經到極限了！<br>就算危險，也必須不顧風險<br>強制傳送等待救援者！"""
NotifyPos#2,"""已確認來不及逃離火場者的<br>位置！<br>請往標記處前進！"""
NotifyMethod#2,"""為了安全傳送各位等待救援者<br>我需要正確的座標！<br>滅火後請記得調查！"""
FirstTrans#2,"""/face2 座標確認完成。<br>已安全傳送完畢。<br>就是這樣！"""
RescueeFound#2,"""被火焰包圍的狀態下<br>傳送會具有高度風險！<br>請先滅火再進行救助！"""
GeneratorAdd#2,"""哇哇！<br>收到另一批等待救援者的信號！<br>請救出所有人員！"""
TimeLimitNear#2,"""快點！　請加快腳步！"""
TimeLimitHurry#2,"""/face4 已經是極限了！<br>快！　快！"""
RescueMethod#2,"""/face2 火勢撲滅了！<br>請調查等待救援者<br>將正確座標傳給我。"""
