un_043900_0010#0,"""<%me>，有什麼事嗎？<br>是我的身上有哪裡奇怪嗎？"""
un_043900_0020#0,"""你這髮色，莫非是……"""
un_043900_0030#0,"""你跟一般人感覺不太一樣呢"""
un_043900_0040#0,"""髮色，麼……<br>這其實，也算是我的特征吧……"""
un_043900_0050#0,"""……是這樣麼？<br>我只是個再普通不過的ARKS罷了。"""
un_043900_0060#0,"""沒必要做拙劣的隱瞞，愛花。"""
un_043900_0070#0,"""司令。"""
un_043900_0080#0,"""愛花也與您一樣<br>同為擁有著黑暗法爾斯的力量之人。<br>或許該說，您看出來了也是理所應當吧。"""
un_043900_0090#0,"""大約在半年前，黑暗法爾斯【若人】曾一度險些復活。"""
un_043900_0100#0,"""也是因為得到了瑪托依小姐的協助<br>最終，我們成功地將黑暗法爾斯【若人】<br>再一次進行了封印，但是……"""
un_043900_0110#0,"""但是當時，我稍微輕率了點……<br>所以這頭髮，也可以說是當時的後遺症吧。"""
un_043900_0120#0,"""“稍微輕率了點”這說明，也太輕描淡寫了吧。<br>明明都把剛甦醒的瑪托依小姐捲了進去<br>甚至還差點搞出一樁大事件……"""
un_043900_0130#0,"""這……倒也沒錯。"""
un_043900_0140#0,"""……也跟瑪托依有關係嗎？"""
un_043900_0150#0,"""……告訴我詳細的內容"""
un_043900_0160#0,"""……是的。<br>還是該讓您知道些細節比較好<br>愛花，說吧。"""
un_043900_0170#0,"""我從逸樹和理奈他們……不對，是從協助者那裡<br>接下了黑暗法爾斯【若人】的因子。<br>我本是做好了覺悟，準備就這樣被封印的……"""
un_043900_0180#0,"""但是，瑪托依大人決定了要救我<br>於是，她便將開始聚集的黑暗束縛起來<br>準備將其再次封印到莉莉芭的地下。"""
un_043900_0190#0,"""然而，以瑪托依小姐當時的力量<br>終究還是沒能控制住巨量的黑暗種因子。"""
un_043900_0200#0,"""不僅如此，她還開始用自己的身體<br>去接下愛花體內逐漸聚集的黑暗。"""
un_043900_0210#0,"""……大概是瑪托依大人<br>早就預想到了這種情況吧。"""
un_043900_0220#0,"""就作為容器來說，瑪托依大人她比我強了數倍。<br>所以她才會做好了親自承受黑暗的覺悟，準備出手救我。"""
un_043900_0230#0,"""明明她就曾一度成為過【深遠之暗】<br>可她卻仍義無反顧……"""
un_043900_0240#0,"""但就在這時……<br>那傢伙不知從哪裡現身了。"""
un_043900_0250#0,"""……「神暗者・類人之軀」。<br>被ARKS如此稱呼的，【深遠之暗】的化身。<br>它出現的記錄，甚至不足一分鐘。"""
un_043900_0260#0,"""它……並沒有激發，或是喚醒黑暗法爾斯【若人】<br>而是從我們身上吸收掉了黑暗後，就離去了。"""
un_043900_0270#0,"""它看著瑪托依大人，卻什麼也沒做……"""
un_043900_0280#0,"""……這就是事件的始末。之後的就是事後處理了。<br>不過其實，這部分才是最費事的。"""
un_043900_0290#0,"""雖然愛花奇跡般地並未被黑暗法爾斯附體<br>但侵蝕狀況也不容樂觀。<br>都這樣了，還真虧得你活了下來啊。"""
un_043900_0300#0,"""一切都多虧了瑪托依大人。<br>而在那之後，我大約花了半年才完全治愈好。<br>現在已經不會對活動造成任何影響了。"""
un_043900_0310#0,"""瑪托依小姐她，也為了淨化侵蝕<br>而在看護觀察下<br>進行了短期的冷凍睡眠。"""
un_043900_0320#0,"""畢竟她之前也有過前例……<br>尤其是醫學團隊那邊，可神經質了。"""
un_043900_0330#0,"""不過……這冷凍睡眠也很快就會結束了。"""
un_043900_0340#0,"""前些日子，醫學團隊那邊發來了聯絡。<br>應該很快就能與瑪托依小姐見面了。"""
un_043900_0350#0,"""……可是，當時「神暗者・類人之軀」<br>所做出的行動，還是很令人費解。"""
un_043900_0360#0,"""它到底是為何從我們這裡了接下了黑暗<br>又為何什麼也沒做，就這麼離去了呢……<br>……時至今日我還是想不通。"""
un_043900_0370#0,"""是啊……<br>這問題，我們是沒法理解的。<br>畢竟，我們並不是它。"""
un_043900_0380#0,"""……但我想<br>您一定稍微有點眉目吧？"""
