11_voice_NPC_5003_101#0,"""哦，夥伴，謝謝你替我跑這一趟！<br>我也仔細看過你的報告了！"""
text02#0,"""目前看來，應該不會像上次那樣<br>出現那麼多黑暗種了吧。"""
text03#0,"""......哎<br>不過上次就是突如其來出現大量黑暗種，<br>造成嚴重問題，所以也說不準就是了。"""
text04#0,"""謝謝你啦，夥伴！　<br>總覺得心情好像輕鬆點了。<br>那麼，該給你報酬了......"""
text05#0,"""......對了，你就收下我的夥伴卡吧！<br>雖然拿這當作謝禮有點寒酸，<br>不過你可以隨時呼叫我！"""
linewindow001#0,"""<br>可以邀請亞方作為夥伴加入隊伍了。<br>"""
text06#0,"""關於『夥伴角色』"""
text07#0,"""達到特定條件<br>可以和夥伴角色一起冒險。<br><br>夥伴角色可以從營地小船的裝置<br>叫出來。<br><br><yellow>不過，在這間房間內已經呼喚了。<br>夥伴角色就不能叫出來。<br>請注意。<c>"""
linewindow002#0,"""<br>ARKS的同伴之間有委託。<br>"""
linewindow003#0,"""<br>可以承接每日任務了。<br>"""
text08#0,"""關於『每日任務』"""
text09#0,"""瑪露有委託。<br><br>瑪露位在出發區－中央大廳。"""
text10#0,"""歐薩有委託。<br><br>歐薩位在出發區－中央大廳。"""
text11#0,"""莉莎有委託。<br><br>莉莎位在出發區－中央大廳。"""
text12#0,"""強恩有委託。<br><br>強恩位在商店區－南外圍道路。"""
text13#0,"""漢斯有委託。<br><br>漢斯位在出發區－西任務櫃台前。"""
text14#0,"""愛美蘭有委託。<br><br>愛美蘭位在商店區－紀念廣場。"""
text15#0,"""蘿拉有委託。<br><br>蘿拉位在出發區－醫學中心。"""
text16#0,"""費娜有每日任務委託。<br><br>費娜位在出發區－西任務櫃台。"""
