st_047075_0010#0,"""エスカダーカー！？<br>こんなところにまで……ッ！？"""
st_047075_0020#0,"""邪魔をするな、ダーカー共。<br>まだ私は、ここにいるのだ。<br>私の望みは、目的は、別にあるのだ。"""
st_047075_0030#0,"""私は……私は……私の目的は……<br>シオンの模倣体としての機能を取り戻し……<br>私を捨てたフォトナー共へ、復讐を果たす。"""
st_047075_0040#0,"""私は失敗作ではないと、示してみせる。"""
st_047075_0050#0,"""世界の破滅など、望みではない……！<br>フォトンの行方など、どうでもよい……！<br>それは、私が利用するためのものにすぎない！"""
st_047075_0060#0,"""私は……私の為すべきことは……<br>地球と、月と……星と一つになり、向こうへ戻り……<br>……見返すのだ、奴らを！"""
st_047075_0070#0,"""そのために……アルを取り込んだっていうの？<br>復讐のための、力を得るために……？"""
st_047075_0080#0,"""……そうだ。<br>フォトンを統べた私を示し<br>復讐は、完成する。"""
st_047075_0090#0,"""ダークファルスと、フォトンと……<br>我がエーテルの融合体、アル。<br>その全てを得るに、相応しい素体だった。"""
st_047075_0100#0,"""だが、その内に残る繋がり……<br>八坂火継、<%me>。<br>君達との繋がりが、彼の存在を残し続ける。"""
st_047075_0110#0,"""この繋がり、断ち切らねばならん。<br>そのために……君達には、死んでもらいたい。"""
st_047075_0113#0,"""１．フォトナーはもう絶滅した"""
st_047075_0116#0,"""２．復讐の先に、何を見る"""
st_047075_0120#0,"""なればこそよ！<br>奴らが滅び、私が残ったのであれば<br>私の存在が正しかったという絶対証明ッ！"""
st_047075_0130#0,"""識らぬ！\u3000私は未だ全知存在にあらず！<br>だが、未来とは行き着く先に見るものだと識る！"""
st_047075_0140#0,"""……最早、問答では埒もあかぬ。<br>そうだろう、八坂火継よ。"""
st_047075_0150#0,"""……そうね、マザー。<br>あたしの目的は、アルを取り戻すこと。<br>そのために、あんたを倒す。"""
st_047075_0160#0,"""我が目的は、フォトナーへの復讐。<br>そのために<%me><br>八坂火継、その両名を殺す。"""
st_047075_0170#0,"""互いに進む道に、交わる場所はない。"""
st_047075_0180#0,"""その通りだ。"""
st_047075_0190#0,"""……さあ行くぞ、浄化の申し子よ！<br>諸君が正しいというのなら、私を倒し<br>彼の者を……アルを、我が内より救ってみせよ！"""
