un_012050_0001#0,"""？？？"""
un_012050_0010#0,"""......你好。"""
un_012050_0020#0,"""原來如此。<br>從視界死角靠近的話<br>就不會被發覺呢。"""
un_012050_0030#0,"""你的特質<br>雖然我不清楚理由，<br>但我可以了解。"""
un_012050_0040#0,"""如果有事，<br>我會主動通知你。"""
un_012050_0050#0,"""如果只有我一個人，<br>麻煩盡可能不要跟我說話。<br>也許正在執行工作也不一定。"""
un_012050_0060#0,"""長話短說，我有問題。"""
un_012050_0070#0,"""那頭暴走龍......<br>哈德烈的所在之處<br>你掌握到了沒有？"""
un_012050_0080#0,"""你真的一點都<br>感應不到麼？"""
un_012050_0090#0,"""既然擁有如此敏銳的感覺，<br>照理說掌握哈德烈的所在地<br>應該是輕而易舉......！"""
un_012050_0100#0,"""......失禮了。<br>我有些興奮過度了。"""
un_012050_0110#0,"""你問我為何對龍執著？"""
un_012050_0120#0,"""哈德烈是什麼？"""
un_012050_0130#0,"""因為那匹龍......那傢伙......<br>哈德烈是個背叛者。"""
un_012050_0140#0,"""那個哈德烈在暴走龍當中<br>擁有特別強大的力量......<br>......不能饒恕的背叛者之名。"""
un_012050_0150#0,"""背叛者無可饒恕。<br>這是任何組織的鐵規。<br>我一定會親手......"""
un_012050_0160#0,"""......不，沒事。<br>請不要放在心上。"""
un_012050_0170#0,"""如果發現那匹龍的在地，<br>麻煩聯絡我。再見了。"""
un_012050_0180#0,"""A.P.238/3/15"""
