un_020210_0010#0,"""<%me>......<br>那個......好久不見。"""
un_020210_0020#0,"""啊......你問我麼？　多虧了你，<br>情況比以前要好多了。"""
un_020210_0030#0,"""每次來到這裡，<br>就會想起當時的事，<br>胸口一陣抽痛，好苦。但是......"""
un_020210_0040#0,"""不跨過去的話......<br>就沒辦法繼續前進。"""
un_020210_0050#0,"""但是，我只擔心一件事，<br>就是當時不知失散何處的<br>科麗莎的行蹤。"""
un_020210_0060#0,"""那個......很危險。<br>我試著尋找，想要收回它，<br>卻到處都找不到......"""
un_020210_0070#0,"""我還沒來得及使用，<br>只是拿著而已。<br>就算如此，我也知道了。"""
un_020210_0080#0,"""是啊，這樣物品<br>不是我這種人能使用的。"""
un_020210_0090#0,"""光是拿著而已就覺得<br>我的心被一片片撕開般<br>變得支離破碎......"""
un_020210_0100#0,"""連自己做了什麼<br>都弄不清楚......<br>彷彿被拖入了深淵......"""
un_020210_0110#0,"""它原本的主人<br>究竟是如何<br>使用它的呢......"""
un_020210_0120#0,"""不過，一定得將它......<br>還給那位正當的持有者才是。<br>我有這種感覺。"""
un_020210_0130#0,"""......對不起。<br>抱歉，我有點不太舒服，<br>就此告辭了。"""
