st_064030_0010#0,"""第一批敵人、反應消失了！<br>……但是、上方同樣的反應很多！"""
st_064030_0020#0,"""喂、還要來啊！<br>真是死纏爛打！"""
st_064030_0030#0,"""法蕾已經告訴我了！<br>殲滅逼近的外敵的任務<br>就交給我吧！"""
st_064030_0040#0,"""可惡的ＯＢ！？<br>今現在正忙著呢、快走開！"""
st_064030_0050#0,"""你還是那麼尖酸刻薄、後輩君！<br>但是、看了這個還能說那樣的話嗎！"""
st_064030_0060#0,"""好了、該出場了！<br>第二代翡翠平板！"""
st_064030_0070#0,"""等等、超巨大幻創種、出現！<br>什麼冒出來了……！<br>真是亂來！"""
st_064030_0080#0,"""有什麼好驚訝的！<br>是我的大和！　能做到這種程度是理所當然的！"""
st_064030_0090#0,"""有什麼問題嗎！"""
st_064030_0100#0,"""那傢伙的具現武装<br>不是暴走了嗎……？"""
st_064030_0110#0,"""因爲說是第二代<br>所以利用之前作為前面的<br>創造了新的嗎……？"""
st_064030_0120#0,"""深信什麼都能做的人<br>有時會變得很強大呢……"""
st_064030_0130#0,"""你難道是在說自己嗎。"""
st_064030_0140#0,"""囉嗦！"""
st_064030_0150#0,"""主砲、副砲、瞄準……！<br>開火！"""
st_064030_0160#0,"""啊、雖然有點亂來<br>但這樣的戰鬥的話<br>那個數量真是可靠啊！"""
st_064030_0170#0,"""沒錯。現在重要的是數量。<br>原理是什麼都可以。<br>能用什麼就用什麼。"""
st_064030_0180#0,"""這裏由我們來控制吧。<br><%me>桑。<br>請你做你需要做的事。"""
st_064030_0190#0,"""那恐怕不是我們這個世界<br>能够做到的事吧？"""
st_064030_0200#0,"""法蕾說得沒錯。<br>我們會想辦法解決的。"""
st_064030_0210#0,"""敵人來的原因是為什麼？<br>摧毀它就是你的任務。"""
st_064030_0220#0,"""在得到幫助的情況下<br>或許還不能這麼說……<br>但是這邊交給我吧。"""
st_064030_0230#0,"""不管怎麼說<br>這裏有一群連神明<br>都敢頂撞的傢伙。"""
st_064030_0240#0,"""如果輸給了那些東西<br>該怎麼跟那傢伙說才好、對吧？"""
st_064030_0250#0,"""哥哥說得對。<br><%me>。<br>地球由我們來保護。"""
st_064030_0260#0,"""雖然我覺得不能像你那樣<br>但是大家一起齊心協力……<br>你也要加油。"""
