un_025160_0010#0,"""ああ、<%me><br>ちょうどいいところに。"""
un_025160_0020#0,"""シャオくん。わたしたちだけで<br>悩んでても仕方がないよ。<br>他の人の意見も聞いてみない？"""
un_025160_0030#0,"""……そうだね。<br>今後のアークスの管理体制について<br>ちょっと意見を聞かせて欲しいんだ。"""
un_025160_0040#0,"""ぶっちゃけると、三英雄とか<br>六芒均衡をどうするか、ってこと。<br>残すべきか、潰すべきかで迷ってる。"""
un_025160_0050#0,"""特別枠を潰してみんな横並び、って<br>聞こえは良いんだけど、ゆくゆくは<br>統制を失うんだよね。"""
un_025160_0060#0,"""かといって、このままがいいと<br>思っているわけでもなくて……<br>正直、一長一短だから迷ってる。"""
un_025160_0070#0,"""１．残した方がいい"""
un_025160_0080#0,"""２．潰した方がいい"""
un_025160_0090#0,"""うーん、実はわたしも<br>残した方がいいって思ってる。"""
un_025160_0100#0,"""だってさ、ただでさえ<br>いろんなことが判明したばっかりで<br>混乱中なわけでしょ？"""
un_025160_0110#0,"""さらにその上、象徴でもあった<br>三英雄や六芒均衡も潰しますって<br>なると、抑えがきかなくならない？"""
un_025160_0120#0,"""アークスなら、割り切って<br>動いてほしいけれど……<br>人間的に考えれば、そうかもね。"""
un_025160_0130#0,"""うーん、潰すかぁ……<br>潰す、かぁ……当事者が言うなら<br>大丈夫なのかなあ。"""
un_025160_0140#0,"""ウルクは反対？"""
un_025160_0150#0,"""いや、潰した場合のメリットを<br>考えてみてるんだけど……<br>いまいちしっくりこなくてさ。"""
un_025160_0160#0,"""今、いきなり潰しちゃうと<br>みんなが混乱しちゃうかもなー<br>っていうところが、心配かな。"""
un_025160_0170#0,"""まあ、確かに、ただでさえ色々と<br>秘密を公表していってるからね。<br>余計な混乱は避けるべき、か。"""
un_025160_0180#0,"""そもそも、アークスという組織自体は<br>そこまで腐ってはいないんだよね。<br>トップが腐っていただけで。"""
un_025160_0190#0,"""レギアスたちも、ルーサーに<br>脅されて従ってたようなものだし<br>立て直すことは、出来ると思う。"""
un_025160_0200#0,"""もちろん、どういう形になるとしても<br>組織全体の命令系統は作り直すよ。"""
un_025160_0210#0,"""とりあえずは、ぼくをトップにして<br>全部進めていくつもりだけど……<br>あんまりやりたくないんだよなぁ。"""
un_025160_0220#0,"""本当は<%me><br>なんかがやってくれると<br>とっても楽なんだけどね？"""
un_025160_0230#0,"""まあ、君が現場に<br>出られなくなっちゃうほうが<br>問題だから、ダメなんだよねぇ。"""
un_025160_0240#0,"""あーあ、事務方に回せる非戦闘員で<br>こっちの事情がわかってて、ぼくに<br>意見できるような人材、いないかなぁ。"""
un_025160_0250#0,"""シャオくん、高望みしすぎ。<br>最初からカンペキにこなせる人を<br>求めるなんて、ぜいたくすぎるよ。"""
un_025160_0260#0,"""何度も何度も失敗して、それでも<br>立ち上がって進むのが、わたしたち。<br>そうだよね？"""
un_025160_0270#0,"""ど、どうしたの、二人とも。<br>わたし、どこかおかしい？"""
un_025160_0280#0,"""……いたね。<br>うってつけなのが。"""
un_025160_0290#0,"""いやあ、参考になったよ<br><%me>。<br>また相談に乗ってほしいな。"""
un_025160_0300#0,"""え、あれ、ちょっとシャオくん？<br>なんで、全て解決したみたいな<br>スッキリ顔してるの？"""
