st_057080_0010#0,"""這個孩子、是異常体質……"""
st_057080_0020#0,"""嗯？<br>你是誰？"""
st_057080_0030#0,"""我是……克拉麗莎。<br>芙洛、你的專屬研究者。"""
st_057080_0040#0,"""研究？　又要做什麼沒用的事？<br>反正什麼都不懂？"""
st_057080_0050#0,"""……是啊。<br>對你來說、也許是這樣。<br>我們到現在還什麼都不知道。"""
st_057080_0060#0,"""那就來玩吧。<br>與其做那些沒用的事、不如來玩吧。"""
st_057080_0070#0,"""我還想再玩一會。<br>去各種各樣的地方、說各種各樣的話<br>想盡情地玩耍。"""
st_057080_0080#0,"""是嗎……是吧。<br>但是、那是做不到的。<br>芙洛、因爲你很特別。"""
st_057080_0090#0,"""……哈哈、真開心。<br>好了、我們去下一個地方吧？<br>下一件事是什麼？"""
st_057080_0100#0,"""本來、我就想玩。<br>到處都有玩伴。<br>到處都能去玩。"""
st_057080_0110#0,"""啊、啊、好開心啊。<br>玩伴太多了、太多了。<br>大家、再開心一點吧。啊哈哈哈哈！"""
st_057080_0120#0,"""【双子】的反応、消失了……<br>周圍的魔物種的反應也消失了<br>……不是打倒了。"""
st_057080_0130#0,"""剛才是怎麼回事？"""
st_057080_0140#0,"""芙洛的偽物……？"""
st_057080_0150#0,"""……芙洛的、心。<br>裏的寂寞造就了<br>另一個芙洛。"""
st_057080_0160#0,"""另一個、芙洛君？"""
st_057080_0170#0,"""昆特是召喚、威倫是強化<br>艾匹克是心操、還有<br>伊斯＝阿魯斯擅長増殖。"""
st_057080_0180#0,"""把一個變成兩個、兩個變成更多。<br>反覆進行、最終形成了<br>通商聯盟國、伊斯＝阿魯斯。"""
st_057080_0190#0,"""增加想要的東西。<br>增加所求之物。<br>這就是這個國家的根本原理。"""
st_057080_0200#0,"""但是、芙洛作為最重要的象徵。<br>在這些知識中、沒有朋友。"""
st_057080_0210#0,"""因此、把自己作爲朋友產生了。<br>爲了填補自己的寂寞。<br>……作爲自己的玩伴。"""
st_057080_0220#0,"""這個國家也好、芙洛君也好<br>爲什麼、會有這種事……"""
st_057080_0230#0,"""……我、也不知道。<br>如果不回到起源<br>就無法理解原初的孤獨的理由。"""
st_057080_0240#0,"""我身在國家之中、與國家同在。<br>所以、我不明白這種奇怪之處。<br>……現在、我是這麼想的。"""
st_057080_0250#0,"""原初的孤独……"""
st_057080_0260#0,"""剛才的場景是……"""
name01#0,"""？？？"""
name02#0,"""？？？"""
