un_012290_0010#0,"""你好，午安。我是提雅。<br>喏，琶提。<br>好好打聲招呼啦。"""
un_012290_0020#0,"""啊，嗯，我是......琶提。"""
un_012290_0030#0,"""呃，該怎說明才好呢。<br>自從之前聽到有關『殺手』<br>存在的話題之後，就這樣了。"""
un_012290_0040#0,"""據說ARKS當中，就有這種<br>處理不見光事物的存在之類的。<br>雖然一點證據都沒有......"""
un_012290_0050#0,"""結果，不知為何琶提她<br>就開始胡思亂想，<br>覺得自己會被處理掉。"""
un_012290_0060#0,"""可、可是啊！<br>殺手不就是<br>會把人處理掉的那種人麼！"""
un_012290_0070#0,"""『你知道的太多了......』<br>冷冷的講著，泛著美麗的眼光，<br>拿刀逼向這邊的少年，沒錯吧！"""
un_012290_0080#0,"""喂，需要把殺手的樣子<br>描述得那麼清楚麼......"""
un_012290_0090#0,"""而且，就傳聞看來，<br>不像是處理ARKS的人，<br>而是以處理黑暗種為主耶？"""
un_012290_0100#0,"""咦？　是喔？<br>原、原來這樣啊！　這樣說的話<br>我們不用擔心了嘛！"""
un_012290_0110#0,"""但是像之前那樣<br>大音量鼓吹奇怪的資訊，<br>就有可能被處理掉呢。"""
un_012290_0120#0,"""咦！"""
