un_046025_0010#0,"""啊，正好正好。<br>我正好想和你說說話呢。"""
un_046025_0020#0,"""那個出現在安杜斯奇亞的壞世區域<br>你已經知道了吧？"""
un_046025_0030#0,"""它之所以會出現……<br>其實，也許是因為我的緣故。"""
un_046025_0040#0,"""<%me>你應該也聽說了吧？"""
un_046025_0050#0,"""在愛花她差點變成黑暗法爾斯那時，最後究竟發生了什麼。"""
un_046025_0060#0,"""那時，原本由我承受下的【若人】因子<br>被那個人……也就是神暗者・類人之軀給帶走了。"""
un_046025_0070#0,"""我想，正是這因子成為了契機<br>才導致了安杜斯奇亞也出現了壞世區域。"""
un_046025_0080#0,"""畢竟納貝流士和莉莉芭的壞世區域<br>也是在黑暗法爾斯與【深遠之暗】的影響下才出現的……"""
un_046025_0090#0,"""啊……抱歉。<br>別擔心，我沒事的。"""
un_046025_0100#0,"""我並沒有後悔，在拯救愛花的那時做出的選擇。<br>這是實話。"""
un_046025_0110#0,"""雖然我有在反省<br>之前給大家添的麻煩……但我並不後悔。"""
un_046025_0120#0,"""因為，即便這選擇引起了什麼後果<br>我也相信，我已經盡力做到最好了。"""
un_046025_0130#0,"""不過，夏歐和雪拉他們對這事的看法<br>似乎又稍微有些不太一樣。"""
un_046025_0140#0,"""若是我和愛花的這件事就是原因<br>那麼照理說，壞世區域應該在半年前就已經出現了。"""
un_046025_0150#0,"""所以他們認為<br>即便這件事是原因之一<br>也應該是有著其他理由才對的。"""
un_046025_0160#0,"""不過，說起最近發生的事情<br>應該也不是很多吧？"""
un_046025_0170#0,"""前些日子ARKS戰艦的遇襲"""
un_046025_0180#0,"""與瑪托依的重逢"""
un_046025_0190#0,"""……恩。<br>地球上的人們……還有聖母的襲擊。<br>光子與以太的……融合。"""
un_046025_0200#0,"""我覺得，這也有可能是原因之一。<br>而且從時間上來說也是正好。"""
un_046025_0210#0,"""誒、誒誒誒！？<br>你說原因是我們的重逢！？"""
un_046025_0220#0,"""確、確實我總是<br>和<%me>擦肩而過啦……！"""
un_046025_0230#0,"""不對不對肯定不是這樣！"""
un_046025_0240#0,"""……我想，夏歐他們可能是覺得<br>聖母的襲擊也是造成壞世的原因之一。"""
un_046025_0250#0,"""至於光子與以太的融合<br>也沒準對【深遠之暗】有著什麼影響。"""
un_046025_0260#0,"""……所以<br>我們可也得繼續努力才行呀。<br><%me>。"""
