st_012045_0005#0,"""【悲痛的獨白】<br>暫用文字"""
st_012045_0010#0,"""哈德烈......"""
st_012045_0020#0,"""（嘶吼聲）！"""
st_012045_0030#0,"""......好痛苦的聲音。<br>真的，我聽不下去了。"""
st_012045_0040#0,"""不過，最後再告訴我。<br>研究室裡面<br>究竟在進行些什麼......"""
st_012045_0050#0,"""不適任處理者的我<br>接下來到底會被賦予<br>什麼樣的任務......"""
st_012045_0060#0,"""......不，不是這樣的。<br>如果只是這樣，你不會這麼生氣......"""
st_012045_0070#0,"""所以，回答我，哈德烈！"""
st_012045_0080#0,"""人家......<br>是不是原本要找上人家！？"""
st_012045_0090#0,"""……！"""
st_012045_0100#0,"""（咆嘯）"""
st_012045_0110#0,"""真是的，你是無可救藥的秘密主義者，<br>恣意妄為的......小呆瓜。"""
st_012045_0120#0,"""A.P.238/4/15/11:20:00"""
