name01#0,"""希爾達"""
name02#0,"""武器アクション"""
name03#0,"""武器パレットの切り替え"""
11_voice_navi02_121#0,"""嗯，看起挺有模有樣的嘛。<br>那麼接下來是應用方式。"""
11_voice_navi02_122#0,"""武器都有適用的使用方法。<br>先隨意地試試看吧。"""
text00_3b#0,"""關於『武器動作』"""
text00#0,"""關於『武器快捷列的切換』"""
text01#0,"""教學<br>說明關於獵人的『武器動作』。<br><br>所謂的武器動作，是指依各種裝備武器狀態而不同的專用動作。"""
text11#0,"""在切換至內裏快捷列的狀態下<br>按下<%NormalAttack>即可發射「冰刃」。<br><br>那麼，就實際試看看吧！"""
text11_3b#0,"""<%MainPaletteC>で、<br>武器アクションを行います。<br><br>「ソード」の武器アクションは、<br><%MainPaletteC><c 00ffff>を押している間、<br>正面の攻撃を防ぐ「ガード」です。<c><br><br>ダメージを軽減できますが、<br>正面以外の攻撃はガードできないので<br>注意しましょう。"""
text21#0,"""<%WeaponAction><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>「裏パレット」に切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（グレネードシェル）が発動します。"""
text21_3b#0,"""<%WeaponAction_2><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>「裏パレット」に切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（グレネードシェル）が発動します。"""
text31#0,"""<%WeaponAction><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>「裏パレット」に切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のテクニック<c><br>（イル・グランツ）が発動します。"""
text31_3b#0,"""<%WeaponAction_2><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>「裏パレット」に切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のテクニック<c><br>（イル・グランツ）が発動します。"""
text41#0,"""<%WeaponAction><c 00ffff>を押している間、武器パレットを<br>「裏パレット」に切り替えます。<c><br><br>裏パレットに切り替えた状態で<br><%NormalAttack>を押すと、<yellow>別のＰＡ<c><br>（ペネトレイトアロウ）が発動します。"""
