11_voice_NPC_5054_101#0,"""喔喔，你來得正好！<br>我剛好有東西要給你！"""
Npc54_favs_before_020#0,"""這個東西你拿著吧。"""
Npc54_favs_after_010#0,"""這是你平常辛苦工作的報酬！<br>哎呀，別客氣！"""
Npc54_favs_after_020#0,"""以後也要繼續進步喔！"""
Npc54_favs_present_010#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_020#0,"""得到喬瑟夫給予的『閃現刺拳』。"""
Npc54_favs_present_030#0,"""得到喬瑟夫給予的『輪轉連拳』"""
Npc54_favs_present_040#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_050#0,"""得到喬瑟夫給予的『衝鋒直拳』"""
Npc54_favs_present_060#0,"""得到喬瑟夫給予的『震地咆哮』"""
Npc54_favs_present_070#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_080#0,"""得到喬瑟夫給予的『裏拳三連擊』"""
Npc54_favs_present_090#0,"""得到喬瑟夫給予的『閃影百裂拳』"""
Npc54_favs_present_100#0,"""得到喬瑟夫給予的『合成器』。"""
Npc54_favs_present_add_001#0,"""ジョーゼフから『<%skit_text>』を受け取りました。"""
Npc54_MesPack_010#0,"""有注意到<br>各行星中的<br>訊息清單了麼？"""
Npc54_MesPack_020#0,"""這是降落在各行星的先遣部隊<br>這裡留有一些像是情報的文字。<br>有機會你可以看看。"""
Npc54_MesPack_030#0,"""只要靠近訊息清單<br>就能進行連線，<br>這樣就能輕鬆閱覽資料。"""
11_voice_NPC_5054_100#0,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#1,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#2,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#3,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#4,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_100#5,"""每天都要努力鑽研，不可以懈怠！<br>每天進步才稱得上是ARKS！"""
11_voice_NPC_5054_101#1,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
11_voice_NPC_5054_101#2,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
Alice_01_10#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
Alice_01_20#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
Alice_01_30#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
Alice_01_40#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
Alice_01_50#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
Alice_01_60#0,"""鍛鍊過的肉體必須棲宿著健全的魂魄！<br>各位將與黑暗種戰鬥。<br>心的力量是很重要的！"""
11_voice_NPC_5054_101#3,"""我聽說黑暗法爾斯復活了。<br>看來我不應該<br>再繼續隱居了。"""
Npc54_mb9_020#0,"""我雖然已經年老力衰，但我有足夠的經驗。<br>只要有人需要我，<br>我隨時可以上戰場。"""
11_voice_NPC_5054_101#4,"""我聽說黑暗法爾斯復活了。<br>看來我不應該<br>再繼續隱居了。"""
Npc54_mb10_020#0,"""我雖然已經年老力衰，但我有足夠的經驗。<br>只要有人需要我，<br>我隨時可以上戰場。"""
11_voice_NPC_5054_101#5,"""我聽說黑暗法爾斯復活了。<br>看來我不應該<br>再繼續隱居了。"""
Npc54_mb11_020#0,"""我雖然已經年老力衰，但我有足夠的經驗。<br>只要有人需要我，<br>我隨時可以上戰場。"""
11_voice_NPC_5054_100#6,"""敵人越來越強大，<br>但ARKS也日益進步。<br>別擔心。"""
Npc54_mb12_020#0,"""有必要的話，<br>我很樂意貢獻自己的力量。"""
11_voice_NPC_5054_100#7,"""敵人越來越強大，<br>但ARKS也日益進步。<br>別擔心。"""
Npc54_mb13_020#0,"""有必要的話，<br>我很樂意貢獻自己的力量。"""
11_voice_NPC_5054_100#8,"""敵人越來越強大，<br>但ARKS也日益進步。<br>別擔心。"""
Npc54_mb14_020#0,"""有必要的話，<br>我很樂意貢獻自己的力量。"""
11_voice_NPC_5054_104#0,"""……沒想到，在回歸本職之際<br>竟然會發生這件事。"""
Npc54_mb18_010#0,"""……まさか、この短期間で<br>これほどの変化が起こるとはな。"""
11_voice_NPC_5054_100#9,"""見た目の話ではないぞ。<br>万物は変わっていくということを<br>改めて教えられた気分だ。"""
11_voice_NPC_5054_100#10,"""敵の存在が明確になればなるほど<br>燃えてくるものがある。"""
Npc54_mb21_020#0,"""現役を一度は退いたとはいえど<br>私の力が役立つこともあろう。"""
Npc54_mb21_030#0,"""覚悟はとうに決めている。<br>望まれれば私はいつでも<br>この力を振るう所存だ。"""
Npc54_mb23_after_010#0,"""多くのことが起きたみたいだが<br>ひとまず無事でなによりだ。"""
11_voice_NPC_5054_100#11,"""これから大きな戦いがあるかもしれん。<br>私も最盛期は過ぎたが、全力で<br>戦う気持ちをもっている。"""
Npc54_mb23_after_030#0,"""だが君は、今は身体を労るべきだ。<br>皆、君のために動こうとしている。<br>彼らを信じ、英気を養うのだ。"""
11_voice_NPC_5054_100#12,"""良い結果になって何よりだ。<br>今回のことは、君であっても<br>難しいのではと不安があったのだ。"""
Npc54_mb24_after_020#0,"""だがそれは杞憂にすぎなかった。<br>自身が願う未来のために戦う姿は<br>実に見事だった。"""
Npc54_mb24_after_030#0,"""私も君のようになれればと<br>年甲斐もなく、思ってしまったぞ。"""
11_voice_NPC_5054_104#1,"""【深遠なる闇】は強大な敵だ。<br>だが我々も無力ではないし<br>ひと時とはいえど猶予がある。"""
Npc54_mb25_020#0,"""この期間に全力で己を鍛え上げ<br>来るべき日に備えねばなるまい。"""
Npc54_mb25_030#0,"""我々に負けは許されないからな。"""
11_voice_NPC_5054_100#13,"""よく戻ってきてくれたな。<br>歴戦の勇士の帰還によって<br>皆の士気も上がるだろう。"""
st01_020#0,"""君は特に何も意識する必要はないぞ。<br>ただ、そこにいてくれるだけで<br>安心を与える存在というのもある。"""
11_voice_NPC_5054_100#14,"""活気というのは、活動から生まれる。<br>君の活動が、皆を奮い立たせるのだ。"""
11_voice_NPC_5054_100#15,"""活気というのは、行動から生まれる。<br>皆に活気をもたらしているのは<br>ひとえに君の率先した行動だ。"""
text01#0,"""よくぞ戻ってきた！<br>君の帰還を、心待ちにしていた。"""
11_voice_NPC_5054_101#6,"""新たな未来を切り拓いてくれたこと<br>心から、感謝するぞ。"""
text03#0,"""皆が希望と活気に<br>満ちているのは、君のおかげだ。"""
