st_042040_0001#0,"""A.D.2028/3/23/11:00"""
st_042040_0010#0,"""呀……！"""
st_042040_0020#0,"""呀啊啊啊啊啊啊啊啊啊！！！<br>什麼呀！這什麼呀！這個可愛的生物是什麼呀！"""
st_042040_0030#0,"""討厭討厭討厭啦－－！好－－可－－愛－－！<br>金・髮！碧・眼！<br>而且，還耷拉著袖子！簡直是奇跡！"""
st_042040_0040#0,"""……這個人好可怕！<br>姐姐！姐姐！"""
st_042040_0050#0,"""嘿嘿嘿，別那麼冷淡啦。<br>來和大姐姐一起做點舒服的事情嘛。<br>我不會做壞事的啦。"""
st_042040_0060#0,"""你冷靜點。"""
st_042040_0070#0,"""冰莉，你不是不擅長應付男人來著嗎？"""
st_042040_0080#0,"""偽娘是放另外一個胃裡的啦，<br>另外一個胃－－！"""
st_042040_0090#0,"""光聽聲音聽不出來，可你剛才<br>是不是說了句超級可怕的發言啊？"""
st_042040_0100#0,"""話說回來呀火継，這孩子<br>你是從哪裡勾搭回來的呀！"""
st_042040_0110#0,"""…………你聽好了，可別笑啊？"""
st_042040_0120#0,"""是從PSO2裡面……<br>唔－－、唔－－……唔唔－－……"""
st_042040_0130#0,"""雖然我想這話你一下子也挺難相信的<br>但我沒有說謊。<br>從現狀來考慮，只有這種可能性了。"""
st_042040_0140#0,"""我沒有懷疑你啦。<br>你也不看看<br>我哪怕是有懷疑過你一次麼？"""
st_042040_0150#0,"""不過，要真是這樣……<br>……我是不是也可以勾搭一個<br>這麼可愛的小孩子回來呀？"""
st_042040_0160#0,"""我可是在認真講欸。"""
st_042040_0170#0,"""就、就是稍微開個玩笑嘛。"""
st_042040_0180#0,"""不過，之所以火継你會覺得<br>阿有弟弟是從PSO2裡面帶回來的<br>是因為發生了什麼事情，才讓你這麼認為吧？"""
st_042040_0190#0,"""要是回顧一下之前都發生了些什麼<br>雖然這具體理由不好說<br>但至少會不會稍微找到些原因的眉目呀？"""
st_042040_0200#0,"""可就算這麼說……<br>昨天發生的事情每一件都太離譜了<br>我一點都想不出來，其中的哪一件會是原因。"""
st_042040_0210#0,"""……阿有弟弟。<br>你有記得什麼嗎？"""
st_042040_0220#0,"""恩－－……或者的話嘛，我想想啊。<br>要是能問問其他當事人<br>也沒準能知道些什麼……"""
st_042040_0230#0,"""其他當事人的話<br>那就是<%me>了……"""
st_042040_0240#0,"""可就連<%me>的事情<br>我都沒自信能說得清楚……！<br>倒不如說，來個人給我說明一下啊……！"""
st_042040_0250#0,"""阿……嚏！"""
st_042040_0260#0,"""對了說起來，這事我忘問了<br>他為什麼會穿著這麼件衣服啊？"""
st_042040_0270#0,"""嗚……阿有他能穿的衣服<br>現在就只有這件了……"""
st_042040_0280#0,"""……恩恩。<br>雖然搞不清楚的事情有很多<br>但看來有一件事，得先去做一下才行呢。"""
st_042040_0290#0,"""阿有。<br>咱們去買你的衣服吧。"""
st_042040_0300#0,"""衣服啊……真好啊，我偶爾也想<br>換換裝，穿一穿別的衣服啊……<br>……哈！什、什麼事都沒有哦！"""
st_042040_0310#0,"""咳咳！總之，關於阿有弟弟，究竟是屬於這個世界<br>還是屬於那個世界這個問題<br>……看來現在數據還不足，尚不清楚呢。"""
st_042040_0320#0,"""雖然我想直接見他一面，也許就能知道些什麼<br>可也沒辦法把他給叫過來……<br>嗚嗚嗚，真是急死個人啦。"""
