un_051010_0010#0,"""光子這種東西啊<br>是一種和阿卡西記錄有關的素子。"""
un_051010_0020#0,"""簡單的來講<br>那個就是阿卡西記錄本身。"""
un_051010_0030#0,"""光子是到處都有的。<br>作為阿卡西記錄為了記錄世界<br>而存在著的單元。"""
un_051010_0040#0,"""大家的使用方法就是，通過那個單元<br>讀取出來能量的記錄<br>從而再現出來的感覺呢。"""
un_051010_0050#0,"""光子族也是，主要通過光子<br>來提取能量，不過<br>那個還能用來做很多別的事。"""
un_051010_0060#0,"""要怎麼~才能使用<br>說明起來就有~點困難了。"""
un_051010_0070#0,"""錫安也一定覺得很難解释清楚<br>才只是把作為能量來使用的方法<br>教給了你。"""
un_051010_0080#0,"""…………"""
un_051010_0090#0,"""我啊，雖說也不是很清楚。<br>但比起大家對光子<br>的理解更多一些。"""
un_051010_0100#0,"""但是，為什麼可以這樣用。<br>又是怎麼用的。<br>這些就說明不了了。"""
un_051010_0110#0,"""……如果我可以把這些<br>清楚的說明出來了的話<br>世界就能變的更美好吧。"""
un_051010_0120#0,"""大家就能<br>展露出更多的笑容吧什麼的……<br>我也有好好想過呢。"""
