name_7444#0,"""Kirishima"""
ssn_015300_0001#0,"""ภารกิจที่ Stia นี่โหดหินสุดๆ ไปเลย"""
ssn_015300_0002#0,"""บอกตามตรงนะ ไม่คิดเลยว่าจะแย่ขนาดนี้..."""
ssn_015300_0101#0,"""ฉันชื่อ Kirishima เป็นผู้ดูแลฝ่ายสนับสนุนด้านโลจิสติกส์ในแคมป์นี้"""
ssn_015300_0102#0,"""มีเรื่องอยากจะปรึกษาหน่อย... จะสะดวกไหม?"""
ssn_015300_0201#0,"""ถ้ามี Alters ให้รับมือน้อยลง ภารกิจส่งเสบียงน่าจะราบรื่นขึ้นเยอะเลย"""
ssn_015300_0202#0,"""ทีมสำรวจก็จะทำงานได้ง่ายขึ้นด้วย ขอบคุณมากเลยนะ"""
ssn_015300_0301#0,"""อา เข้าใจแล้ว... ไว้โอกาสหน้าก็แล้วกัน"""
ssn_015300_1001#0,"""ต้องขอบคุณความช่วยเหลือของคุณ ทีมสำรวจดูเหมือนจะทำงานได้ดีขึ้นเหมือนกันนะ"""
ssn_015300_1002#0,"""หวังว่าจะพึ่งพาคุณได้อีกนะ ถ้ามีเรื่องอื่นเข้ามาอีก"""
ssn_015300_1101#0,"""...โอ๊ะ เอิ่ม ขอโทษที!"""
ssn_015300_1102#0,"""ดูเหมือนพาร์ทเนอร์ของฉันจะตกอยู่ในสถานการณ์ที่ค่อนข้างแย่น่ะ... ขอร้องให้คุณไปช่วยเธอหน่อยได้ไหม?"""
ssn_015300_1201#0,"""อยากจะไปด้วยจัง แต่ด้วยความแข็งแกร่งของฉัน คงจะไปเป็นตัวถ่วงเปล่าๆ..."""
ssn_015300_1202#0,"""ขอบคุณมากๆ เลยนะ!"""
ssn_015300_1301#0,"""อา เข้าใจแล้ว... ไว้โอกาสหน้าก็แล้วกัน"""
ssn_015300_1401#0,"""ไม่รู้จะขอบคุณยังไงดีเลย!"""
ssn_015300_1402#0,"""แต่ดูเหมือน Chitose จะไม่เข็ดนะ เพราะหลังจากนั้นก็กลับไปที่แพลนท์ทันทีเลย"""
ssn_015300_1403#0,"""เธอค่อนข้างจะรักอิสระหน่อย แต่ก็มีจิตใจที่ดีนะ..."""
ssn_015300_1404#0,"""เธอซื่อสัตย์ต่อสหายและมีความยุติธรรมสูงมาก เชื่อว่าสักวันเธอจะเป็น ARKS ที่ยอดเยี่ยมได้อย่างแน่นอน"""
