name_7444#0,"""キリシマ"""
ssn_015303_0010#0,"""引き受けてもらえますか？<br>助かります。"""
ssn_015303_0020#0,"""実はさきほど、調査員のひとりが、<br>プラント内に取り残されてしまったんです。"""
ssn_015303_0030#0,"""なんでも、ドールズの襲撃を受けて、<br>逃げ遅れてしまったとかで……。"""
ssn_015303_0040#0,"""まだ見習いのチトセさんという子で、<br>ボクもよく面倒を見てあげていたんです。"""
ssn_015303_0050#0,"""だから、心配で……。"""
ssn_015303_0060#0,"""生体反応は確認できたので、無事のようです。<br>ただ、マグが故障しているのか、通信はつながりません。"""
ssn_015303_0070#0,"""ほかの隊員たちも、救出に向けて動いています。<br>……でも、人手が足りないみたいで。"""
ssn_015303_0080#0,"""そこで、あなたの力を借りたいんです。<br>どうか、助けてあげてください。"""
ssn_015303_0090#0,"""一緒に向かいたいのですが、<br>ボクの力では、足を引っ張るだけなので……。"""
ssn_015303_0100#0,"""反応のあった位置情報を送りますね。<br>よろしくお願いします……！"""
