Name#0,"""Тестер рефлексов"""
MikiriStart#0,"""/toge Сейчас!"""
MikiriSuccessHiscore#0,"""Вы ударили меня...<br>Установлен новый рекорд!<br>Сложность: $(0)<br>Ваше время: $(2).$(1) секунд"""
MikiriSuccess#0,"""Я проиграл...<br>Сложность: $(0)<br>Ваше время: $(2).$(1) секунд"""
MikiriFailed#0,"""Вы ужасно медленный!<br>Сложность: $(0)<br>Время машины: $(2).$(1) секунд"""
MikiriBreakaway#0,"""/moya Слишком рано!<br>Попробуйте снова, когда <br>я скажу, \""Сейчас!"""
MikiriRecord#0,"""Лучшее время: $(2).$(0) секунд<br>Текущий рекордсмен: <br>$(1)"""
MikiriRecordNone#0,"""В настоящее время нет рекордов."""
MikiriEasy#0,"""Нормальный режим"""
MikiriNormal#0,"""Сложный режим"""
MikiriHard#0,"""Очень сложный режим"""
MikiriHiScore#0,"""Лучший результат"""
