Name#0,"""Касса"""
CashboxMiss#0,"""$(1)<br>попыток $(3)　Введённое число: $(4)<br>Верно:  $(2) Не верно: $(0)"""
CashboxWin#0,"""$(1)<br>установил(а) новый рекорд!<br>Рекорд: $(3) попыток. Время: $(4):$(2):$(0)"""
CashboxTimeWin#0,"""$(1)<br>установил(а) новый рекорд! Время прохождения обновлено!<br>Рекорд: $(3) попыток. Лучшее время: $(4):$(2):$(0)"""
CashboxDraw#0,"""$(1)<br>установил(а) рекорд и лучшее время! <br>Рекорд: $(3) попыток. Лучшее время: $(4):$(2):$(0)"""
CashboxTimeLose#0,"""$(1)<br>установил(а) рекорд!<br>Действующий рекорд: $(3) попыток. Лучшее время: $(4):$(2):$(0)"""
CashboxLose#0,"""(1)<br>закончил(а)!<br>Действующий рекорд: $(3) попыток. Лучшее время: $(4):$(2):$(0)"""
CashboxRecord#0,"""Имя: $(1)<br>Цифры: $(4)　Рекорд: $(3) попыток<br>FЛучшее время: $(5):$(2):$(0)"""
CashboxRecordNone#0,"""Текущие цифры: $(0)　Без рекорда"""
CashboxWin1#0,"""$(1)<br>установил(а) новый рекорд!<br>Это чудо! Без подсказок!<br>Рекорд: $(3) попыток. Лучшее время: $(4):$(2):$(0)"""
CashboxDraw1#0,"""$(1)<br>установил(а) рекорд и лучшее время! <br>Это чудо! Без подсказок!<br>Рекорд: $(3) попыток. Лучшее время: $(4):$(2):$(0)"""
