HELLO_FAV4#0,"""お待ちしていました"""
HELLO_FAV3#0,"""お疲れ様です"""
HELLO_FAV2#0,"""こんにちは"""
HELLO_FAV1#0,"""用件をどうぞ"""
HELLO_FAV0#0,"""用件を"""
GOODBYE_FAV4#0,"""お気をつけて"""
GOODBYE_FAV3#0,"""それではまた"""
GOODBYE_FAV2#0,"""さようなら"""
GOODBYE_FAV1#0,"""では"""
GOODBYE_FAV0#0,"""あ……"""
GOTOEXP_FAV4#0,"""Пожалуйста, оставьте это мне,<br>учитель."""
GOTOEXP_FAV3#0,"""Я уйду"""
GOTOEXP_FAV2#0,"""Хорошо,"""
GOTOEXP_FAV1#0,"""Есть"""
GOTOEXP_FAV0#0,"""Начинаем"""
HELLO_REPORT_FAV4#0,"""マスター、お時間よろしければ<br>報告を聞いていただけませんか？"""
HELLO_REPORT_FAV3#0,"""報告をしても<br>よろしいでしょうか？"""
HELLO_REPORT_FAV2#0,"""戻りました。<br>報告があります"""
HELLO_REPORT_FAV1#0,"""報告案件があります"""
HELLO_REPORT_FAV0#0,"""帰還しました"""
HELLO_OTHER#0,"""いらっしゃいませ"""
GOODBYE_OTHER#0,"""さようなら"""
HELLO_FAV4#1,"""待ってたよ！"""
HELLO_FAV3#1,"""調子はどうだい？"""
HELLO_FAV2#1,"""やあ"""
HELLO_FAV1#1,"""やあ"""
HELLO_FAV0#1,"""やあ"""
GOODBYE_FAV4#1,"""名残惜しいね"""
GOODBYE_FAV3#1,"""元気でね"""
GOODBYE_FAV2#1,"""またね"""
GOODBYE_FAV1#1,"""またね"""
GOODBYE_FAV0#1,"""またね"""
GOTOEXP_FAV4#1,"""Я буду стараться для вас"""
GOTOEXP_FAV3#1,"""Я буду с лева"""
GOTOEXP_FAV2#1,"""До встречи"""
GOTOEXP_FAV1#1,"""じゃ、頑張ってくるよ"""
GOTOEXP_FAV0#1,"""じゃ、頑張ってくるよ"""
HELLO_REPORT_FAV4#1,"""待ってたよ。<br>報告、聞いて欲しいんだ"""
HELLO_REPORT_FAV3#1,"""調子はどうだい？<br>こっちは一段落さ"""
HELLO_REPORT_FAV2#1,"""報告があるんだけど"""
HELLO_REPORT_FAV1#1,"""報告があるんだけど"""
HELLO_REPORT_FAV0#1,"""報告があるんだけど"""
HELLO_OTHER#1,"""いらっしゃい"""
GOODBYE_OTHER#1,"""またどうぞ"""
HELLO_FAV4#2,"""あ、えっと、来てくれてうれしいです"""
HELLO_FAV3#2,"""む、無理はしていませんか？"""
HELLO_FAV2#2,"""こ、こんにちはです"""
HELLO_FAV1#2,"""こ、こんにちはです"""
HELLO_FAV0#2,"""こ、こんにちはです"""
GOODBYE_FAV4#2,"""ずっと、ずっと待ってます"""
GOODBYE_FAV3#2,"""ど、どうかご無事で……"""
GOODBYE_FAV2#2,"""さ、さようならです"""
GOODBYE_FAV1#2,"""さ、さようならです"""
GOODBYE_FAV0#2,"""さ、さようならです"""
GOTOEXP_FAV4#2,"""Есть!br>сделаю все возможное"""
GOTOEXP_FAV3#2,"""Пожалуйста,<br>положитесь на меня"""
GOTOEXP_FAV2#2,"""Выдвигаюсь"""
GOTOEXP_FAV1#2,"""それでは、行ってきます"""
GOTOEXP_FAV0#2,"""それでは、行ってきます"""
HELLO_REPORT_FAV4#2,"""お、おかえりなさい！<br>実は、報告したいことが……"""
HELLO_REPORT_FAV3#2,"""ま、待ってました。<br>ちょっと、報告をしたくて……"""
HELLO_REPORT_FAV2#2,"""あ、あの、報告があって……"""
HELLO_REPORT_FAV1#2,"""あ、あの、報告があって……"""
HELLO_REPORT_FAV0#2,"""あ、あの、報告があって……"""
HELLO_OTHER#2,"""い、いらっしゃいです"""
GOODBYE_OTHER#2,"""さ、さようなら"""
HELLO_FAV4#3,"""あまり待たせないで欲しいな"""
HELLO_FAV3#3,"""フッ……元気なようだな"""
HELLO_FAV2#3,"""戻ってきたか"""
HELLO_FAV1#3,"""戻ってきたか"""
HELLO_FAV0#3,"""戻ってきたか"""
GOODBYE_FAV4#3,"""もう行くのか？<br>無理だけはするなよ"""
GOODBYE_FAV3#3,"""気をつけろよ"""
GOODBYE_FAV2#3,"""では、また次の機会に"""
GOODBYE_FAV1#3,"""では、また次の機会に"""
GOODBYE_FAV0#3,"""では、また次の機会に"""
GOTOEXP_FAV4#3,"""В любом случае я буду защищать вас"""
GOTOEXP_FAV3#3,"""Отлично предоставьте это мне."""
GOTOEXP_FAV2#3,"""Тогда начнем"""
GOTOEXP_FAV1#3,"""それでは、出撃する"""
GOTOEXP_FAV0#3,"""それでは、出撃する"""
HELLO_REPORT_FAV4#3,"""待っていたぞ。<br>報告、聞いてもらえるか"""
HELLO_REPORT_FAV3#3,"""ちょうど一段落したところだ。"""
HELLO_REPORT_FAV2#3,"""報告したいことがある"""
HELLO_REPORT_FAV1#3,"""報告したいことがある"""
HELLO_REPORT_FAV0#3,"""報告したいことがある"""
HELLO_OTHER#3,"""よく来たな"""
GOODBYE_OTHER#3,"""いつでも来るといい"""
HELLO_FAV4#4,"""へへっ、待ってたぜ！"""
HELLO_FAV3#4,"""よっ、元気かー！"""
HELLO_FAV2#4,"""やっほー！"""
HELLO_FAV1#4,"""やっほー！"""
HELLO_FAV0#4,"""やっほー！"""
GOODBYE_FAV4#4,"""もっとゆっくりしてけよー！"""
GOODBYE_FAV3#4,"""気をつけてなー！"""
GOODBYE_FAV2#4,"""そんじゃー！"""
GOODBYE_FAV1#4,"""そんじゃー！"""
GOODBYE_FAV0#4,"""そんじゃー！"""
GOTOEXP_FAV4#4,"""Хорошо Хорошо!<br>я буду держаться с лева"""
GOTOEXP_FAV3#4,"""Еееха! видал!"""
GOTOEXP_FAV2#4,"""Отлично...!"""
GOTOEXP_FAV1#4,"""りょーかいっ！"""
GOTOEXP_FAV0#4,"""りょーかいっ！"""
HELLO_REPORT_FAV4#4,"""おっ、来た来た！<br>聞いてくれよ、報告があるんだ！"""
HELLO_REPORT_FAV3#4,"""いいタイミング！<br>こっちも一段落ってところだ！"""
HELLO_REPORT_FAV2#4,"""報告、してもいいか？"""
HELLO_REPORT_FAV1#4,"""報告、してもいいか？"""
HELLO_REPORT_FAV0#4,"""報告、してもいいか？"""
HELLO_OTHER#4,"""よっ！"""
GOODBYE_OTHER#4,"""またなー！"""
HELLO_FAV4#5,"""ずっと、待っていましたよ"""
HELLO_FAV3#5,"""お元気そうで、何よりです"""
HELLO_FAV2#5,"""こんにちは"""
HELLO_FAV1#5,"""こんにちは"""
HELLO_FAV0#5,"""こんにちは"""
GOODBYE_FAV4#5,"""もう行かれてしまうんですか？"""
GOODBYE_FAV3#5,"""気をつけて、いってらっしゃい"""
GOODBYE_FAV2#5,"""それでは、また"""
GOODBYE_FAV1#5,"""それでは、また"""
GOODBYE_FAV0#5,"""それでは、また"""
GOTOEXP_FAV4#5,"""Пожалуйста предоставьте это мне."""
GOTOEXP_FAV3#5,"""Есть! вас понял(а)<br>буду стараться!"""
GOTOEXP_FAV2#5,"""Вас понял(а)<br>выдвигаемся"""
GOTOEXP_FAV1#5,"""承りました。<br>それでは、行ってきます"""
GOTOEXP_FAV0#5,"""承りました。<br>それでは、行ってきます"""
HELLO_REPORT_FAV4#5,"""おかえりなさい。<br>あの……少しよろしいですか？<br>報告したいことがありまして"""
HELLO_REPORT_FAV3#5,"""こちら、ちょうど一段落したところです"""
HELLO_REPORT_FAV2#5,"""報告があります"""
HELLO_REPORT_FAV1#5,"""報告があります"""
HELLO_REPORT_FAV0#5,"""報告があります"""
HELLO_OTHER#5,"""いらっしゃいませ"""
GOODBYE_OTHER#5,"""では、また"""
HELLO_FAV4#6,"""待ってたよーっ！"""
HELLO_FAV3#6,"""おおっ、元気そうだね！"""
HELLO_FAV2#6,"""こんちわーっ！"""
HELLO_FAV1#6,"""こんちわーっ！"""
HELLO_FAV0#6,"""こんちわーっ！"""
GOODBYE_FAV4#6,"""えー、もう行っちゃうのー？"""
GOODBYE_FAV3#6,"""気をつけてねっ！"""
GOODBYE_FAV2#6,"""それじゃっ！"""
GOODBYE_FAV1#6,"""それじゃっ！"""
GOODBYE_FAV0#6,"""それじゃっ！"""
GOTOEXP_FAV4#6,"""Положитесь на меня!<br>я постараюсь ради вас!"""
GOTOEXP_FAV3#6,"""Хорошо! давайте постараемся!"""
GOTOEXP_FAV2#6,"""Да да вас понял(а)!"""
