ssc_508020_0010#0,"""んー?<br>아아, キミか."""
ssc_508020_0020#0,"""ちょっと、크로퍼드に<br>頼まれごとをしていてね."""
ssc_508020_0030#0,"""…맞아だ.<br>今、時間あるかな?"""
ssc_508020_0040#0,"""これから、キミとやりとりするときのために、<br>僕と크로퍼드のことを話しておきたい."""
ssc_508020_0050#0,"""聞きたい."""
ssc_508020_0060#0,"""なにか秘密が…?"""
ssc_508020_0070#0,"""うん、わかったよ."""
ssc_508020_0080#0,"""そんな、たいした話じゃないんだけどね."""
ssc_508020_0090#0,"""僕일행은,知ってのとおり、<br>ずーっとクヴァリスのなかだけで暮らしてきた."""
ssc_508020_0100#0,"""毎日、顔を合わせて、<br>話をするのは家族だけ."""
ssc_508020_0110#0,"""ときどき、에아리오의 아크스が、<br>訪ねてきてたんだけど…."""
ssc_508020_0120#0,"""ちょっとした道案内とか、<br>情報交換をするくらい."""
ssc_508020_0130#0,"""あとは、ひたすら、<br>真っ白な大地と向き合うだけ."""
ssc_508020_0140#0,"""ほかの兄妹일행은,おじいちゃんの夢だった<br>\""クヴァリスの再興\""ってのに燃えてたけど."""
ssc_508020_0150#0,"""僕は、맞아いう毎日に、<br>なにか物足りなさを感じてた."""
ssc_508020_0160#0,"""で、ある日、端末でデータを整理しているときに、<br>いろんな研究データを集めたフォーラムを見つけたんだ."""
ssc_508020_0170#0,"""そこで、あるデータに目が留まってね."""
ssc_508020_0180#0,"""あとから知ったんだけど、<br>それが크로퍼드の書いたものだったんだ."""
ssc_508020_0190#0,"""なんとなく、間違いを見つけて、<br>コメントをつけたら…."""
ssc_508020_0200#0,"""ものすごい長文で、<br>いろんな質問が飛んできた."""
ssc_508020_0210#0,"""っていうのが、크로퍼드との出会い."""
ssc_508020_0220#0,"""出会いっていうか、<br>文字だけの交流だったんだけど."""
ssc_508020_0230#0,"""그럼 직접 만난 적은?"""
ssc_508020_0240#0,"""혹시 얼굴을 본 적은 없어?"""
ssc_508020_0250#0,"""ないね.<br>実は、顔もあんまり覚えてない."""
ssc_508020_0260#0,"""크로퍼드も僕の顔、<br>わかってないんじゃないかな."""
ssc_508020_0270#0,"""いや、さすがにそんなことは…?"""
ssc_508020_0280#0,"""あれ?<br>でも、あんまり크로퍼드の顔を思い出せないな."""
ssc_508020_0290#0,"""ああでも、<br>写真を送りあったことはあるね."""
ssc_508020_0300#0,"""ちょっと前に撮ったやつ."""
ssc_508020_0310#0,"""キミたちも、それを元に、<br>僕を探してくれたって聞いたけど."""
ssc_508020_0320#0,"""写真と本人の印象が違った."""
ssc_508020_0330#0,"""ほかの兄妹と間違えた."""
ssc_508020_0340#0,"""어? 그런거야?"""
ssc_508020_0350#0,"""그럼 혹시<br>다른 남매랑 헷갈리기도 했어?"""
ssc_508020_0360#0,"""僕ら、顔立ちは似てるから…."""
ssc_508020_0370#0,"""服とか、髪色とか変えたら見分けつかないかも."""
ssc_508020_0380#0,"""あー、じゃあ、<br>探すときに苦労させちゃったんだね."""
ssc_508020_0390#0,"""僕ら兄弟は、<br>顔立ち結構似てるからねぇ."""
ssc_508020_0400#0,"""服とか、髪色とか変えたら見分けつかないかも."""
ssc_508020_0410#0,"""まあでも、話を戻すけど…."""
ssc_508020_0420#0,"""顔を見なくても、<br>レポートの内容から、相手の感情は想像つくからね."""
ssc_508020_0430#0,"""どれだけ熱心にやってるかとか、<br>このあたり苦労して맞아だなーとか."""
ssc_508020_0440#0,"""直接、顔を合わせて、<br>ことばを交わさなくても通じ合えるというか."""
ssc_508020_0450#0,"""今でも、技術的な相談のときは、<br>文字だけのやりとりが多いね."""
ssc_508020_0460#0,"""そんな感じで、크로퍼드とは、<br>友人のような、ただの研究仲間のような関係が続いてる."""
ssc_508020_0470#0,"""最近は、ほかの研究者と、交流する機会も増えたんだけど、<br>크로퍼드ほど、的確で素早いレスポンスをくれる人はいなくてさ."""
ssc_508020_0480#0,"""改めて、すごい人だなぁって、<br>思い知らされてるところ."""
ssc_508020_0490#0,"""あっ、これは彼には言わないでね.<br>調子に乗るから."""
ssc_508020_0500#0,"""とまあ、僕と크로퍼드の話は、<br>これでおしまい."""
ssc_508020_0510#0,"""たぶん、みんなから、<br>変な関係だと思われてるんだろうけど."""
ssc_508020_0520#0,"""キミ에겐知っておいてほしかったんだ."""
ssc_508020_0530#0,"""그럼 안あね."""
