ssc_502100_0010#0,"""……누구야?"""
ssc_502100_0020#0,"""아아, 너였구나……."""
ssc_502100_0030#0,"""기운이 없어 보이는데……?"""
ssc_502100_0040#0,"""어디 아픈거야?"""
ssc_502100_0050#0,"""아, 아니……."""
ssc_502100_0060#0,"""아니, 괜찮아……."""
ssc_502100_0070#0,"""……."""
ssc_502100_0080#0,"""여기에 오면<br>자꾸 떠오르게 되네."""
ssc_502100_0090#0,"""닐스 스티아와의 싸움……."""
ssc_502100_0100#0,"""……그리고 그 때<br>나를 보호해준 그 대원이……."""
ssc_502100_0110#0,"""……나 같은 녀석을 위해서……."""
ssc_502100_0120#0,"""어째서……."""
ssc_502100_0130#0,"""자책하지 마."""
ssc_502100_0140#0,"""그게 그 사람의 사명이었어."""
ssc_502100_0150#0,"""하지만……!"""
ssc_502100_0160#0,"""사명? ……우리를 지키는 게?"""
ssc_502100_0170#0,"""그 사람에게도 평범한 삶이 있었어."""
ssc_502100_0180#0,"""분명 꿈도 있었을 거야.<br>하고싶은 것도…… 잔뜩 있었을…… 거야."""
ssc_502100_0190#0,"""그걸 내가……<br>영원히 뺴앗아 버렸어……."""
ssc_502100_0200#0,"""그 생각에는 동의할 수 없습니다."""
ssc_502100_0210#0,"""카누이……!?"""
ssc_502100_0220#0,"""실례했습니다.<br>목소리가 들려서요."""
ssc_502100_0230#0,"""저희에 대한 걸<br>조금 얘기해 드려도 괜찮을까요?"""
ssc_502100_0240#0,"""저희에게는,<br>\""절대 동료를 버리지 않는다\""라는 규칙이 있습니다."""
ssc_502100_0250#0,"""전투에서<br>가장 무서운 것은 적이 아닙니다."""
ssc_502100_0260#0,"""동료를 믿지 못하게 되는 것입니다."""
ssc_502100_0270#0,"""전투에서 고립될 때, 부상을 당했을 때,<br>나만 남게 되는 것을 아닐까."""
ssc_502100_0280#0,"""항상 그런 불안함이 따라다닙니다."""
ssc_502100_0290#0,"""그런 불안함을 잊기 위해 있는<br>규칙입니다."""
ssc_502100_0300#0,"""대원들끼리 서로 안심하고 등을 맡길 수 있다."""
ssc_502100_0310#0,"""신뢰 관계를 형성하고,<br>임무를 수행해 나가는 것."""
ssc_502100_0320#0,"""당신을 보호한 그 대원도<br>그 규칙을 따랐을 뿐입니다."""
ssc_502100_0330#0,"""위기에 처한 당신을 \""버리지 않는다\""."""
ssc_502100_0340#0,"""그 결과, 더 많은 동료가 살아남을 수 있었습니다."""
ssc_502100_0350#0,"""그 사람도 그렇게 생각했을 겁니다."""
ssc_502100_0360#0,"""그리고 싸움은 그대로 흘러갔습니다."""
ssc_502100_0370#0,"""……그때 나는 그저<br>분노에 휩싸여서……."""
ssc_502100_0380#0,"""싸움은 결과가 전부입니다."""
ssc_502100_0390#0,"""물론 과정도 중요합니다만,<br>얼마나 많은 적을 물리치고, 얼마나 많은 동료가 살아남았는가."""
ssc_502100_0400#0,"""그 사실만이 중요할 뿐입니다."""
ssc_502100_0410#0,"""많은 희생이 발생하면,<br>그 책임은 그렌 대장이 짊어져야 합니다."""
ssc_502100_0420#0,"""물론 부관인 저도 마찬가지 입니다."""
ssc_502100_0430#0,"""그 사람은 해야할 일을 했을 뿐입니다."""
ssc_502100_0440#0,"""그러니, 당신을 앞을 똑바로 바라봐 주세요."""
ssc_502100_0450#0,"""카누이……."""
ssc_502100_0460#0,"""제가 드릴 얘기는 이게 끝입니다."""
ssc_502100_0470#0,"""……고마워."""
ssc_502100_0480#0,"""아뇨, 오히려 제가 주제넘은 짓을 했습니다."""
ssc_502100_0490#0,"""그럼 저는 임무로 복귀하겠습니다."""
ssc_502100_0500#0,"""……마음을 정리하는 게<br>도무지 쉬운 일은 아니지만……."""
ssc_502100_0510#0,"""카누이의 말대로<br>앞으로 계속 나아갈 수 있도록 노력할게."""
ssc_502100_0520#0,"""내게 미래를 맡긴<br>……그 아크스를 위해서라도."""
