ssc_507010_0010#0,"""<%me>인가."""
ssc_507010_0020#0,"""어때.<br>옛날 이야기 좀 들어주지 않겠나?"""
ssc_507010_0030#0,"""흥미로워."""
ssc_507010_0040#0,"""조금이라면."""
ssc_507010_0050#0,"""음."""
ssc_507010_0060#0,"""뭐 그렇게 까지 말하지 않아도 된다네."""
ssc_507010_0070#0,"""나는<br>지금까지 이 곳…… 에르노자를 좋아하지 않았다."""
ssc_507010_0080#0,"""그날의 일이<br>떠올라서 말이지."""
ssc_507010_0090#0,"""나데레프가,<br>사람들 앞에서 노래를 불렀던 그날을."""
ssc_507010_0100#0,"""고요해지는 주민들 앞에서<br>그녀는 색을 잃어가고 있었다."""
ssc_507010_0110#0,"""당황한 내가 모두를 대피시켰지만<br>남겨진 그녀넌 묵묵히 어깨를 떨고 있었다."""
ssc_507010_0120#0,"""그런 얼굴은<br>그 전에도, 그 후에도 본 적이 없었다."""
ssc_507010_0130#0,"""……그때까지<br>그녀에게는 노래의 힘이 있다고 생각했었다."""
ssc_507010_0140#0,"""노래의 힘은,<br>부모로부터 자식에게 전해진다."""
ssc_507010_0150#0,"""그 힘은<br>함부로 남에게 보여줘선 안된다."""
ssc_507010_0160#0,"""특히 그 힘이 안정되기 전인<br>어린 시절에 말이지."""
ssc_507010_0170#0,"""어린 나데레프가 노래하는 것은<br>어머니인 알데리아 앞에서만 부르게 되어있다."""
ssc_507010_0180#0,"""당시 알데리아는<br>내게 나데레프의 노래의 힘에 대해서 얘기해 줬다네."""
ssc_507010_0190#0,"""그녀의 힘은<br>언젠가는 자기를 능가할 거라고."""
ssc_507010_0200#0,"""……알데리아가 세상을 떠난 지금에 와서는<br>그 말의 진의를 알 수 없네."""
ssc_507010_0210#0,"""내가 생각하기에 알데리아가 느꼈던 것은<br>나데레프의 노래의 힘이 아닌……."""
ssc_507010_0220#0,"""나데레프의 노래에 공명하는 자신의 힘을,<br>나데레프의 힘으로 오인하고 있덨던 것은 아닐까 하고."""
ssc_507010_0230#0,"""……어찌됐든, 이후 자네들이 오기 전까지는<br>나데레프의 진짜 힘은 그 누구도 눈치채지 못한 채로 있었다네."""
ssc_507010_0240#0,"""그 후의 그녀에 대한 것은<br>앞서 말한 대로다."""
ssc_507010_0250#0,"""부족한 노래의 힘을 메꾸기라도 하듯<br>무예를 연마하는 데에만 몰두했었다."""
ssc_507010_0260#0,"""그런 그녀를 응원하기 위해<br>우리도 그저 힘만을 추구하게 되었지."""
ssc_507010_0270#0,"""나데레프가 노래를 부르지 않게 되면서<br>리템의 음악의 문화는 쇠퇴의 길을 걸었다네."""
ssc_507010_0280#0,"""하루도 빠짐없이 적과 싸워야 했고<br>지쳐서 잠에 든다."""
ssc_507010_0290#0,"""깨닫고 보니 그걸 반복했지."""
ssc_507010_0300#0,"""이대로라면<br>언젠가 리템의 아크스는 파탄날 것이다."""
ssc_507010_0310#0,"""내가 그렇게 걱정하기 했을 무렵<br>당당하게 나타난 것이 그대들이었다."""
ssc_507010_0320#0,"""이 자들이라면,<br>뭔가 바꾸어 주겠지."""
ssc_507010_0330#0,"""지금 돌이켜보면 아무런 근거도 없지만,<br>너희들이 싸우는 그 모습을 보고 그렇게 생각했다."""
ssc_507010_0340#0,"""……그 이후는<br>너희들이 더 잘 알겠지."""
ssc_507010_0350#0,"""나데레프의 진정한 힘이 드러나며,<br>레누스 리템의 토벌이 이루어졌다."""
ssc_507010_0360#0,"""그리고 리템에 음악이 돌아왔다."""
ssc_507010_0370#0,"""다시 한 번 감사를 전하겠다."""
ssc_507010_0380#0,"""나도 리템의 음악을 좋아한다."""
ssc_507010_0390#0,"""싸움과 노래는 표리일체?"""
ssc_507010_0400#0,"""고마워."""
ssc_507010_0410#0,"""모두에게 전해줘.<br>기뻐할 거야."""
ssc_507010_0420#0,"""그래.<br>리템의 아크스에게서 빼놓을 수 없는 존재다."""
ssc_507010_0430#0,"""그 사실을 깨닫는 데까지<br>몇 년이나 걸렸어."""
ssc_507010_0440#0,"""너희들 덕분에,<br>지금은 이 땅에 발을 딛는 것도 괴롭지 않게 되었다."""
ssc_507010_0450#0,"""정말 많은 신세를 졌다."""
ssc_507010_0460#0,"""이제부터는 우리가 그 빚을 갚을 차례다."""
ssc_507010_0470#0,"""어려운 일이 있다면,<br>무엇이든 말해주게."""
