name_7400#0,"""Dualdre"""
ssn_014275_0001#0,"""De acuerdo, empecemos."""
ssn_014275_0101#0,"""...Mm? No parece que tu clase sea Bouncer."""
ssn_014275_0102#0,"""Tendrás que inscribirte como Bouncer en el mostrador de la clase primero. Para quitar las formalidades del camino, ¿sabes?"""
ssn_014275_0103#0,"""Mientras estás allí, dale un buen repaso a las habilidades de clase de Bouncer. Memorízalas."""
ssn_014275_0104#0,"""Pero oye, ya que estás aquí puedo contarte de qué va la Clase."""
ssn_014275_0201#0,"""Los Bouncers son una Clase orientada a destacar en el combate a corto y medio alcance."""
ssn_014275_0202#0,"""Somos especialmente buenos en el combate aéreo, usando nuestras armas y Técnicas para flotar como una mariposa, picar como una abeja."""
ssn_014275_0203#0,"""También somos buenos desencadenando bajadas físicas y de atributos para inclinar las batallas a nuestro favor."""
ssn_014275_0204#0,"""Al igual que cualquier otra clase, las habilidades de clase son el pan de cada día. En primer lugar, debes dominar la Declinación elemental"""
ssn_014275_0205#0,"""Te daré esta tarea por ahora, así que ve a probarla."""
