Begin#0,"""/ci2 1 О! Можешь мне подсобить?<br>Тут много врагов."""
Success#0,"""/ci9 1 Спасибо! Ты меня прямо спас(ла)!<br>В следующий раз я верну должок!"""
Failure#0,"""/ci5 3 Извини...<br>В этот раз не вышло."""
Dead#0,"""/ci4 3 ...В-в таком месте..."""
Begin_v2#0,"""/ci2 1 О! Ты мо"""
Success_v2#0,"""/ci9 1 Спасибо! Ты меня прямо спас(ла)!<br>В следующий раз я верну должок!"""
Failure_v2#0,"""/ci5 3 Извини...<br>В этот раз не вышло."""
Dead_v2#0,"""/ci4 3 ...В-в таком месте..."""
Begin_7001001_a#0,"""/ci2 1 あっ！\u3000キミ、いいところに！_a<br>ちょっと手伝ってもらえないかな？"""
Success_7001001_b#0,"""/ci9 1 いきなりごめんね。助かったよ。<br>ありがとう。_b"""
Failure_7001001#0,"""/ci4 3 ごめんなさい……。<br>キミも、危なそうだったら逃げて。"""
Dead_7001001#0,"""/ci4 3 Угх... Так не должно..."""
BuddyDead_7001001#0,"""/ci4 3 Угх... Так не должно..."""
Begin_7001001_v3#0,"""/ci2 1 О! Ты как раз вовремя!<br>Можешь мне немного помочь?"""
Success_7001001_v3#0,"""/ci9 1 Извини, что так внезапно.<br>Ты меня прямо спас(ла). Спасибо."""
Failure_7001001_v3#0,"""/ci5 3 Извини... Если тебе это кажется опасным,<br>беги что есть сил."""
Dead_7001001_v3#0,"""/ci4 3 Угх... так не должно..."""
BuddyDead_7001001_v3#0,"""/ci4 3 Угх... так не должно..."""
Begin#1,"""＊＊開始"""
Success#1,"""＊＊成功"""
Failure#1,"""＊＊失敗"""
Dead#1,"""＊＊死亡"""
Begin_v2#1,"""＊＊開始(Ver2)"""
Success_v2#1,"""＊＊成功(Ver2)"""
Failure_v2#1,"""＊＊失敗(Ver2)"""
Dead_v2#1,"""＊＊死亡(Ver2)"""
Begin_7001001#0,"""＊＊開始(Ver無し)"""
Success_7001001#0,"""＊＊成功(Ver無し)"""
Failure_7001001#1,"""＊＊失敗(Ver無し)"""
Dead_7001001#1,"""＊＊死亡(Ver無し)"""
BuddyDead_7001001#1,"""＊＊相方死亡(Ver無し)"""
Begin_7001001_v3#1,"""＊＊開始(Ver3)"""
Success_7001001_v3#1,"""＊＊成功(Ver3)"""
Failure_7001001_v3#1,"""＊＊失敗(Ver3)"""
Dead_7001001_v3#1,"""＊＊死亡(Ver3)"""
BuddyDead_7001001_v3#1,"""＊＊相方死亡(Ver3)"""
Begin#2,"""＊＊開始"""
Success#2,"""＊＊成功"""
Failure#2,"""＊＊失敗"""
Dead#2,"""＊＊死亡"""
Begin_v2#2,"""＊＊開始(Ver2)"""
Success_v2#2,"""＊＊成功(Ver2)"""
Failure_v2#2,"""＊＊失敗(Ver2)"""
Dead_v2#2,"""＊＊死亡(Ver2)"""
Begin_7002001#0,"""＊＊開始(Ver無し)"""
Success_7002001#0,"""＊＊成功(Ver無し)"""
Failure_7002001#0,"""＊＊失敗(Ver無し)"""
Dead_7002001#0,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#0,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#0,"""＊＊開始(Ver3)"""
Success_7002001_v3#0,"""＊＊成功(Ver3)"""
Failure_7002001_v3#0,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#0,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#0,"""＊＊相方死亡(Ver3)"""
Begin#3,"""＊＊開始"""
Success#3,"""＊＊成功"""
Failure#3,"""＊＊失敗"""
Dead#3,"""＊＊死亡"""
Begin_v2#3,"""＊＊開始(Ver2)"""
Success_v2#3,"""＊＊成功(Ver2)"""
Failure_v2#3,"""＊＊失敗(Ver2)"""
Dead_v2#3,"""＊＊死亡(Ver2)"""
Begin_7001001_a#1,"""/ci2 1 あっ！\u3000キミ、いいところに！<br>ちょっと手伝ってもらえないかな？_a"""
Success_7001001_b#1,"""/ci9 1 いきなりごめんね。助かったよ。<br>ありがとう。_b"""
Failure_7001001#2,"""＊＊失敗(Ver無し)"""
Dead_7001001#2,"""＊＊死亡(Ver無し)"""
BuddyDead_7001001#2,"""＊＊相方死亡(Ver無し)"""
Begin_7001001_v3#2,"""＊＊開始(Ver3)"""
Success_7001001_v3#2,"""＊＊成功(Ver3)"""
Failure_7001001_v3#2,"""＊＊失敗(Ver3)"""
Dead_7001001_v3#2,"""＊＊死亡(Ver3)"""
BuddyDead_7001001_v3#2,"""＊＊相方死亡(Ver3)"""
