name_7428#0,"""Yuri"""
ssn_014770_0001#0,"""บรื๋อ! บนนี้มันหนาวสุดขั้วไปเลยหรือเปล่าเนี่ย!"""
ssn_014770_0002#0,"""ได้ยินมาว่ามีที่ที่หนาวกว่านี้อีกนะ ระวังตัวด้วยล่ะเวลาจะไปไหนมาไหน เข้าใจไหม?"""
ssn_014770_0101#0,"""ไง! ฉัน Yuri ทหารแนวหน้า ยินดีที่ได้รู้จัก!"""
ssn_014770_0102#0,"""นี่ เคยไปที่ Rayjord Gorge ทางตะวันออกของที่นี่ไหม?"""
ssn_014770_0103#0,"""ที่นั่นคือเขตที่อันตรายที่สุดใน Kvaris เลยนะ"""
ssn_014770_0104#0,"""ถ้าจะไปทางนั้นล่ะก็ ฉันพอจะมีคำแนะนำให้ ฟังดูเป็นไงบ้างล่ะ?"""
ssn_014770_0201#0,"""เวลาเอาไอเทมไปให้ Regional Mags ใน Kvaris คุณจะได้รับบัฟที่ช่วยรับมือกับความหนาวได้น่ะ"""
ssn_014770_0202#0,"""ทำไมไม่ลองไปใช้กับตัวที่อยู่ทางตะวันตกของ Kvaris ดูล่ะ?"""
ssn_014770_0301#0,"""อ่า โทษที..."""
ssn_014770_0302#0,"""แต่อย่าริอ่านเข้าไปใน Rayjord Gorge โดยไม่มีเครื่องป้องกันสภาพอากาศล่ะ!"""
