name_7428#0,"""Yuri"""
ssn_014771_0101#0,"""เยี่ยม เอาล่ะ! เดี๋ยวฉันจะอธิบายให้ฟังเอง!"""
ssn_014771_0102#0,"""Rayjord Gorge คือพื้นที่ที่หนาวเป็นพิเศษของ Kvaris"""
ssn_014771_0103#0,"""เขาว่ากันว่าเกิดจากลมหนาวของภูเขา Latva ที่พัดตกลงไปในโกรกธารน่ะ"""
ssn_014771_0104#0,"""ถ้าไม่มีเครื่องป้องกันความหนาวที่เหมาะสมล่ะก็ มันจะสูบเรี่ยวแรงของคุณไปจนกว่าจะกลายเป็นรูปปั้นน้ำแข็งเลยล่ะ!"""
ssn_014771_0105#0,"""เพราะงั้น นี่คือสิ่งที่คุณต้องทำเพื่อหลีกเลี่ยงเรื่องนั้น..."""
ssn_014771_0106#0,"""เดินไปหา Regional Mag เพื่อขอความช่วยเหลือไงล่ะ!"""
ssn_014771_0107#0,"""Regional Mags ใน Kvaris จะพิเศษนิดหน่อยนะ"""
ssn_014771_0108#0,"""เวลาคุณให้ไอเทมพวกมัน พวกมันจะให้บัฟที่ช่วยเสริมความแข็งแกร่งต้านทานความหนาวน่ะ"""
ssn_014771_0109#0,"""Regional Mags นี่เป็นความลับที่ยิ่งใหญ่จริงๆ นะ? บางทีเราอาจจะแค่จินตนาการไปเองก็ได้..."""
ssn_014771_0110#0,"""ยังไงก็เถอะ ทำไมไม่ลองไปแวะหา Regional Mag ทางทิศตะวันตกของ Kvaris ดูล่ะ? เอ้า ไปเลยสิ!"""
