name_7428#0,"""Yuri"""
ssn_014920_0001_001#0,"""Rayjord Gorge เป็นสถานที่ที่อันตรายสุดๆ เลยล่ะ"""
ssn_014920_0001_002#0,"""อย่าลืมเครื่องป้องกันความหนาวล่ะก่อนจะไปที่นั่น!"""
ssn_014920_0001#0,"""ไง! เคยไป Rayjord Gorge หรือยัง?"""
ssn_014920_0002#0,"""จริงๆ แล้ว มันมีวิธีป้องกันความหนาวเพิ่มขึ้นอยู่นะ"""
ssn_014920_0003#0,"""ฟังที่ฉันจะบอกให้ดีล่ะ!"""
ssn_014920_0101#0,"""คุณสามารถทำให้ร่างกายอุ่นขึ้นได้โดยการใช้วัตถุดิบของ Kvaris ใน Quick Food"""
ssn_014920_0102#0,"""ถ้ากำลังมุ่งหน้าไป Rayjord Gorge ก็ต้องแน่ใจนะว่าได้กินของพวกนี้เข้าไปด้วย!"""
ssn_014920_0201#0,"""อ้า โอเค... คุณคงกำลังยุ่งอยู่สินะ"""
ssn_014920_0202#0,"""แต่ถ้าคุณมีธุระต้องไปที่ Rayjord Gorge ข้อมูลนี้ก็มีแต่ผลดีแหละ"""
ssn_014920_0301#0,"""Rayjord Gorge เป็นสถานที่ที่อันตรายมากๆ แต่เพราะอย่างนั้น มันเลยมีของที่หาจากที่อื่นไม่ได้ไงล่ะ"""
ssn_014920_0302#0,"""ถ้าจะไปที่นั่น ก็ป้องกันความหนาวให้มากที่สุดเท่าที่จะทำได้ล่ะ เข้าใจไหม?"""
