name_7428#0,"""ユーリ"""
ssn_014921_0101#0,"""うんうん、そうこなくっちゃ！"""
ssn_014921_0102#0,"""その方法っていうのは……、<br>クヴァリスの食材を使った“クイックフード”を食べるってことさ！"""
ssn_014921_0103#0,"""……まあ、なにかを食べたら身体が温かくなるのは、<br>当たり前の話だよね……。"""
ssn_014921_0104#0,"""でもクヴァリスの食材は特別でね。<br>身体の芯からポカポカして、寒さもへっちゃらになるのさ。"""
ssn_014921_0105#0,"""ちょうど今、私がいくつか持ってるから<br>キミにあげるよ。"""
ssn_014921_0106#0,"""さっそく、クイックフードを作って食べてみてね！"""
ssn_014921_0200#0,"""Received Nourishing Kvar Carrot x3, Sharp Kvar Mushroom x3, Nourishing Kvar Sea Snail x3."""
ssn_014921_0201#0,"""Received Healthy Kvar Lobster x3, Refreshing Kvar Plum x3, Healthy Kvar Akebia x3."""
ssn_014921_0300#0,"""Received Nourishing Kvar Carrot x1, Sharp Kvar Mushroom x1, Nourishing Kvar Sea Snail x1."""
ssn_014921_0301#0,"""Received Healthy Kvar Lobster x1, Refreshing Kvar Plum x1, Healthy Kvar Akebia x1."""
