un_025020_0010#0,"""Ah, <%me>. Perfect timing."""
un_025020_0020#0,"""...I owe you an apology, for what happened in the mothership the other day. I have no idea what came over me."""
un_025020_0030#0,"""1. No worries"""
un_025020_0040#0,"""2. It wasn't your fault."""
un_025020_0050#0,"""...those are kind words but if I don't apologize, I won't be at peace."""
un_025020_0060#0,"""Even under the influence of AVIS, it is inexcusable that I turned my blade on a comrade."""
un_025020_0070#0,"""...as I am now, I still cannot protect a soul. I must devote myself harder to training."""
un_025020_0080#0,"""...Hey, <%me>. Can you spare a moment?"""
un_025020_0090#0,"""...about what happened earlier, I wanted to say I'm sorry. I'm really, really sorry."""
un_025020_0100#0,"""1. Uh, don't worry about it."""
un_025020_0110#0,"""2. Well, it wasn't your fault."""
un_025020_0120#0,"""I'm so happy to hear that. But I can't forgive myself unless I apologize."""
un_025020_0130#0,"""Even with AVIS in effect, the fact is I fought my ally."""
un_025020_0140#0,"""I thought I was strong, but I now know I am weak. I am still inexperienced. I must train harder."""
un_025020_0150#0,"""You guys say the same exact things, you'd think you'd be a perfect match! Instead, you're always both such a pain in the ass!"""
un_025020_0160#0,"""Oh my, I'm sorry. Did I scare you? I wasn't trying to."""
un_025020_0170#0,"""Did you think I'm here to apologize? Nuh-uh, not at all! They're doing that for me."""
un_025020_0180#0,"""Lisa came to say thank you!"""
un_025020_0190#0,"""Thank you for what? For such a fun fight! And all the other stuff!"""
un_025020_0200#0,"""And so, thank you ve~~ry much!"""
un_025020_0210#0,"""Time for Lisa to go have even more fun! Until next time. See you around!"""
