name01#0,"""???"""
name02#0,"""???"""
ra_025020_0001#0,"""A.P.238/7/10"""
ra_025020_0010#0,"""I was waiting for you, <%me>."""
ra_025020_0020#0,"""Hah! How was I? I sounded just like Xion, right?"""
ra_025020_0030#0,"""Well, I am an exact copy of her, so it's only natural I sound just like her."""
ra_025020_0040#0,"""But enough of this formal talk. Lets be more friendly with each other! I will also be relying on you a lot."""
ra_025020_0050#0,"""Oh, right, the thing. The reason why I called you here, the thing I could only tell you in person."""
ra_025020_0060#0,"""About that girl... Matoi."""
ra_025020_0070#0,"""To be honest, I have no clue who or what she is. There is no data about her anywhere at all."""
ra_025020_0080#0,"""She has that much power... and yet records of her existence haven't been made. This is strange."""
ra_025020_0090#0,"""Whether it be the ARKS database or Xion's records, she doesn't exist. Almost as if she was intentionally kept hidden."""
ra_025020_0100#0,"""If it was Loser that erased her, I might have accepted this... but even he did not know about her."""
ra_025020_0110#0,"""Which leaves only one person who is capable of this..."""
ra_025020_0120#0,"""That's right, Xion. She erased her data, all of it."""
ra_025020_0130#0,"""That isn't the only thing that was erased too. Data from about ten years ago, all of it, was perfectly erased."""
ra_025020_0135#0,"""Not just the data, but all the members of ARKS don't remember anything. Their memories have been erased."""
ra_025020_0140#0,"""Salvages, pursuits, investigations are impossible. A perfect blank, its really strange."""
ra_025020_0150#0,"""Ten years ago... in the memories that everyone lost, there has to be something there. But it's impossible to follow lost memories."""
ra_025020_0160#0,"""So we should go there directly, and investigate what happened."""
ra_025020_0170#0,"""<%me>, you should be able to do that."""
ra_025020_0180#0,"""I'm not just saying all this out of curiosity either."""
ra_025020_0190#0,"""Xion is gone, and Loser has been destroyed. From now on, ARKS will undergo big changes."""
ra_025020_0200#0,"""In other words, the control Loser had and all of Xion's calculations, I'll have to do all of it."""
ra_025020_0210#0,"""For the sake of the new ARKS, to preserve and manage it, I will need to learn as many things as possible."""
ra_025020_0220#0,"""Regardless of how bad the circumstances are..."""
ra_025020_0230#0,"""That said, it is true that I am curious. I do want to learn about the history before I was born, and also about myself."""
ra_025020_0240#0,"""Therefore... What we do from now on, I leave to you. Even among all of the things you don't understand, I'm sure good things will still come of it"""
ra_025020_0250#0,"""So if you are willing to help, despite this, please consult with me any time. I will always be waiting for you here."""
