un_025120_0010#0,"""Oh my, oh my, hello, how are you? Feeling good? That’s good! Feeling good is great."""
un_025120_0020#0,"""The ARKS are going through BIG changes right now. It's only going to get crazier! Be careful not to get your body damaged, ok?"""
un_025120_0030#0,"""It seems like there are lots of tons of OODLES of secrets about the past that are coming to light."""
un_025120_0040#0,"""For example... Yeah, you know? You wanna hear about one?"""
un_025120_0050#0,"""Once upon a time in a far away land, a suuuper sickly baby was born."""
un_025120_0060#0,"""Ooh, ooh, let’s call her ‘Lisa’!"""
un_025120_0070#0,"""This ‘Lisa’, you know? She was oh-so good at manipulating photons, but her body couldn’t handle the strain of it."""
un_025120_0080#0,"""Oh no! ARKS couldn't use someone like that. Such a waste!"""
un_025120_0090#0,"""Here was this little lady with so much talent, and yet she was totally useless. Well, we couldn’t have that, could we?"""
un_025120_0100#0,"""So then the next day, Lisa decided to become a cast! It was a split-second decision that led to a ginormous transformation!"""
un_025120_0110#0,"""Having been granted a powerful body, of course she wanted to show off her incredible new abilities, right? Of course!"""
un_025120_0120#0,"""But was becoming a cast really Lisa’s own decision? Well not even Lisa knows that."""
un_025120_0130#0,"""You see, nobody who becomes a cast ever remembers what they were like before the transformation."""
un_025120_0140#0,"""But you know? You know? You know what? Past or no past, the fact that everyone can join forces and stand strong together is what made our world what it is."""
un_025120_0150#0,"""In the end, everyone has to decide for themselves if that makes them happy or not."""
un_025120_0160#0,"""That’s why Lisa is always saying, ‘if you can’t have fun, you might as well be dead!’ Hehe. Heeheeheeheehee."""
un_025120_0170#0,"""Ok then, bye bye now, bye bye!"""
