un_020440_0010#0,"""……ふぅ。"""
un_020440_0020#0,"""……あ、ごめんなさい。<br>考え事していて…………"""
un_020440_0030#0,"""……あの、ちょっと聞きたいことが<br>あるんだけど、いいかしら。<br>くだらないこと、なんだけど。"""
un_020440_0040#0,"""……任務だったら<br>男女ふたりきりでパーティーを<br>組んでも、おかしくないわよね。"""
un_020440_0050#0,"""……じゃあ、その……<br>腕を、組んだりするのは？"""
un_020440_0060#0,"""……任務というよりも<br>一緒に……遊んでいるようなのは<br>……どうなんだろう、って。"""
un_020440_0070#0,"""……べ、別に誰の話でもないわ。<br>ちょっと、ちょっと気になった<br>それだけなんだから。"""
un_020440_0080#0,"""……ただ、よくわからないけど<br>すごく、もやもやっとして……<br>いらいらしてしまって……"""
un_020440_0090#0,"""……ごめんなさい。<br>こんな曖昧な話をされても<br>困らせるだけよね。"""
un_020440_0100#0,"""……今の話は忘れて。<br>私が気にしなければ、それで終わり。"""
un_020440_0110#0,"""……そう。<br>私が気にする必要なんてない。<br>そんな必要ない……はずなのに……"""
