un_025040_0010#0,"""Oof--! P-peon!?"""
un_025040_0020#0,"""<%me>! Perfect timing! Don't let her go!"""
un_025040_0030#0,"""D-don't move, Huey! One step closer, and I'll blow you to smithereens!"""
un_025040_0040#0,"""Then tell me, Claris Claes. Why do you continue to run?"""
un_025040_0050#0,"""Because YOU keep chasing me! I told you to leave me alone!!"""
un_025040_0060#0,"""What do you want with me!? I'm just a...! just a...!"""
un_025040_0070#0,"""SILENCE, FOOL! Who do you take me for!?"""
un_025040_0080#0,"""Did you really think the great Huey would abandon a damsel in distress!?"""
un_025040_0090#0,"""But I'm... I'm just a replica. A phony. A fake..."""
un_025040_0100#0,"""This staff, my title, my power... everything! Everything was fake! I'm an impostor. I don't... deserve any of it."""
un_025040_0110#0,"""...You think so too, don't you, peon? That I'm a worthless impostor..."""
un_025040_0120#0,"""1. Not at all."""
un_025040_0130#0,"""2. ...perhaps."""
un_025040_0140#0,"""Hah hah! Obsessing over trivial matters? This isn't like you, Claris Claes!!"""
un_025040_0150#0,"""Not that I don't understand how you feel, but allow me to join in saying you're sorely mistaken!"""
un_025040_0160#0,"""...indeed, that may be the case. You have little to offer the way you are now."""
un_025040_0170#0,"""But that's only because you have decided to be worthless!"""
un_025040_0180#0,"""B-but--!?"""
un_025040_0190#0,"""...Listen up, Claris Claes. And listen well."""
un_025040_0200#0,"""Those 'things' are nothing more..."""
un_025040_0205#0,"""...than your body doubles!"""
un_025040_0210#0,"""A-are you nuts!?"""
un_025040_0220#0,"""You saw them, Huey!! No matter how you cut it, th... th-they're my clones!"""
un_025040_0221#0,"""And I am too! I'm nothing more than a clone!"""
un_025040_0222#0,"""...I dug through the archives, and I found out... that my life has no value or meaning. I'm just a clone..."""
un_025040_0230#0,"""Oh, so you knew about the clones. Why didn't you say so? In that case, do not avert your eyes from the truth!"""
un_025040_0240#0,"""I will say it once more! They are your body doubles... and they are NOT your equal!"""
un_025040_0250#0,"""Wha--!?"""
un_025040_0260#0,"""If they were your clones, then that would mean I've killed you countless times! I refuse to believe it!"""
un_025040_0270#0,"""Therefore, they are not you! They are Luther's creation, our common enemy!"""
un_025040_0280#0,"""With that clear, answer me, Claris Claes. Are you now my enemy, or my ally?"""
un_025040_0290#0,"""...I attacked you. I did those terrible things..."""
un_025040_0300#0,"""I said those terrible words..."""
un_025040_0310#0,"""...and after all that, Huey... you would still forgive me?"""
un_025040_0320#0,"""A foolish question!"""
un_025040_0330#0,"""Ahaha...haha...ha... Huey, you're such an idiot!"""
