name_7211#0,"""Шанди"""
ssn_019002_0001#0,"""Спасибо, что пришли. Позвольте<br>представиться ещё раз."""
ssn_019002_0002#0,"""Меня зовут Шанди. Я изучаю различные аномальные<br>являения, происходящие на Хальфе."""
ssn_019002_0003#0,"""Я позвала вас, потому что мне нужна ваша помощь<br>в расследовании, происходящей вот уже некоторое<br>время, аномалии."""
ssn_019002_0101#0,"""Благодарю вас. Мне удалось получить<br>хорошие боевые данные Педас Веры."""
ssn_019002_0102#0,"""Теперь мы предпримем все возможные меры на основе<br>предоставленных вами данных, чтобы продолжить<br>наше расследование связанное с врагами."""
ssn_019002_0103#0,"""Какой бы незначительной ни была информация, если мы<br>будем старательно собирать и анализировать её,<br>она может понадобиться в будущих сражениях."""
ssn_019002_0104#0,"""Надеюсь, что как можно больше ARKS в целости<br>и сохранности вернётся с поля боя..."""
ssn_019002_0105#0,"""В обмен на Очки Сезона можно получить награду. Так что<br>если вам что-то понадобится, дайте мне знать."""
ssn_019002_0106#0,"""Я буду рада, если вы продолжите регулярно присылать<br>нам данные о ваших боях с врагами, которые отмечены<br>символом сезона."""
ssn_019002_0107#0,"""Надеюсь на вашу поддержку."""
npc_menu_0001#0,"""Задачи события"""
npc_menu_0002#0,"""Обмен Очков Сезона на предметы"""
npc_menu_0003#0,"""Закрыть меню"""
