name010#0,"""嘉羅亞|ガロア"""
text010#0,"""它們來了！保護村子！"""
Text_PA#0,"""光子技能（PA）："""
Text_TEC#0,"""法術："""
Button_PATEC#0,"""<%PhotonArts>"""
Text_WA#0,"""武器動作："""
Button_WA#0,"""<%MainPaletteC>"""
Text_ura_PATEC#0,"""武器快捷列內頁　"""
Text_ura_PA#0,"""武器快捷列內頁PA："""
Text_ura_TEC#0,"""武器快捷列內頁法術："""
xx1#0,"""按<pict 4space><%WeaponAction_2><pict 4space>的同時按<pict 4space><%NormalAttack>"""
xx2#0,"""切換到武器快捷列內頁後按<pict 4space><%NormalAttack>"""
Text_item#0,"""使用道具："""
Button_item_Pad#0,"""<%SubPalette>"""
Button_item_Key#0,"""<%SubPalette1>"""
Text_Lock#0,"""鎖定："""
Button_Lock#0,"""<%LockOn>"""
Text_ura_hold#0,"""武器快捷列內頁切換："""
Text_ura_push#0,"""武器快捷列切換："""
Button_ura_hold#0,"""按住<pict 4space><%WeaponAction_2>"""
Button_ura_push#0,"""<%WeaponAction_2>"""
