name010#0,"""法因|ファイン"""
text010#0,"""接下來，<br>教你一種瞬間切換更多攻擊方法的辦法。按照說明做做看！"""
Text_PA#0,"""光子技能："""
Text_TEC#0,"""法術："""
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""蓄力PA："""
Text_chargeTEC#0,"""蓄力法術："""
Text_chargePA2#0,"""PA中的攻擊切換："""
Button_charge#0,"""長按<pict 4space><%PhotonArts>"""
Button_charge2#0,"""光子技能中"""
Button_charge2_2#0,"""在特定的時機按<pict 4space><%NormalAttack><pict 4space>或<pict 4space><%PhotonArts>"""
Text_ura_hold#0,"""武器快捷列內頁切換："""
Text_ura_push#0,"""武器快捷列切換："""
Button_ura_hold#0,"""按住<pict 4space><%WeaponAction_2>"""
Button_ura_push#0,"""<%WeaponAction_2>"""
Text_uraPATEC#0,"""武器快捷列內頁　"""
Text_uraPA#0,"""武器快捷列內頁PA："""
Text_uraTEC#0,"""武器快捷列內頁法術："""
Button_uraPA_hold#0,"""按<pict 4space><%WeaponAction_2><pict 4space>的同時按<pict 4space><%NormalAttack>"""
Button_uraPA_push#0,"""切換到武器快捷列內頁後按<pict 4space><%NormalAttack>"""
