a1#0,"""完成特定的委託"""
a2#0,"""完成特定的委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
Area0S#0,"""艾亞利奧平原"""
Area0L#0,"""艾亞利奧平原"""
Title#0,"""資源開採鑽機防衛戰：艾亞利奧"""
Explanation#0,"""活動於艾亞利奧平原的資源回收部隊，發來了緊急支援請求。<br>周圍有著大量的敵人反應，預計將會迎來大規模攻勢。<br>請各位ARKS火速前往該目標點，防衛資源開採鑽機。<br>――――――――――――――――――――――――――――――――――――――<br>可通關次數：$(0)次<yellow>（※包括同時出現中的緊急任務）<c>"""
SimpleExplanation#0,"""防衛資源開採鑽機！"""
Nav000#0,"""Wave.$(0)的<br>殘存敵人反應<yellow>50%<c>。"""
Nav001#0,"""Wave.$(0)的<br>殘存敵人反應<yellow>20％<c>。"""
Nav002#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav003#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav004#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav005#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav006#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav007#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav008#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav009#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav010#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav011#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav012#0,"""防衛対象がダメージを受けたときは、<br><yellow>フォトンリカバー<c>で回復する。"""
Nav013#0,"""状況が悪化したときは、<br><yellow>モバイルキャノン<c>でエネミーを殲滅する。"""
Nav014#0,"""防衛対象への攻撃が激しいときは、<br><yellow>バリアシールド<c>で防ぐ。"""
Nav015#0,"""大型エネミーは、<br>他プレイヤーと協力して優先的に排除する。"""
Nav016#0,"""<yellow>バリゲール<c>のバリアフェンスは、<br><yellow>３つのコア<c>を破壊することで無力化できる。"""
Nav017#0,"""固定砲台の<yellow>ウェーブラム<c>は、<br>出現から攻撃開始までに猶予がある。"""
Nav018#0,"""<yellow>クリンギル<c>は、<br>防衛対象に取りついてダメージを与えてくる。"""
Nav019#0,"""<yellow>エンハンスドエネミー<c>は、<br><yellow>エンハンサー<c>を先に破壊する。"""
Nav020#0,"""任務完成"""
Nav021#0,"""任務完成"""
Nav022#0,"""任務完成"""
Nav023#0,"""任務完成"""
Nav101#0,"""エネミーの出現地点には、<yellow>Ｅマーカー<c>が表示される。"""
Nav102#0,"""<yellow>クリンギル<c>は、<br>防衛対象に取りついて、<br>断続的にダメージを与えてくる。"""
Nav103#0,"""固定砲台の<yellow>ウェーブラム<c>は、<br>エネルギー充填後に防衛対象を攻撃する。"""
Nav104#0,"""<yellow>クリンギル<c>や<yellow>ウェーブラム<c>は、<br>他プレイヤーと協力して優先的に排除する。"""
Nav105#0,"""大型エネミーの<yellow>範囲攻撃<c>に、<br>防衛対象を巻き込まないように注意する。"""
Nav106#0,"""大量のエネミーや強敵は、<br><yellow>モバイルキャノン<c>で殲滅する。"""
Nav107#0,"""さらに大規模な攻勢が予想される。<br>攻撃開始前に、<br><yellow>防衛対象の耐久値<c>を確認しておく。"""
Nav108#0,"""次の一群が最後の攻勢と見られる。<br>攻撃開始前に、<br><yellow>アキュームサインの残量<c>を確認しておく。"""
Nav202#0,"""<yellow>アキュームサイン<c>は、<br>Waveが進むにつれて獲得ポイントが増える。"""
Nav203#0,"""<yellow>コーリングデバイス<c>の各機能は、<br>各プレイヤーが一度だけ使用できる。"""
Nav204#0,"""防衛対象に取りつく<yellow>クリンギル<c>は、<br><yellow>バリアシールド<c>で排除できる。"""
Nav205#0,"""<yellow>モバイルキャノン<c>の装備中は、<br>移動速度が低下するが、<br><yellow>ブーストグライダー<c>で素早く動ける。"""
Nav206#0,"""レーダーマップで<br>他プレイヤーの位置を把握し、<br>連携して戦えるようにする。"""
Nav207#0,"""エネミーの出現地点を予測して、<br><yellow>待ち構えておく<c>と<br>戦いを有利に進められる。"""
Nav208#0,"""エネミーは、<br>出現から一定時間が経過すると、<br><yellow>防衛対象を集中的に狙う<c>ようになる。"""
