name010#0,"""Faria"""
name020#0,"""Taivas"""
name030#0,"""Tulli"""
name040#0,"""Ilma"""
name050#0,"""Kukka"""
name060#0,"""Meri"""
text010#0,"""Looks like it's done for.<br>Was that thing causing the Scarlet Realm to appear?"""
text020#0,"""Hard to say...<br>The Realm does seem to be shrinking, in any event."""
text030#0,"""The sky's clearing up! Good work, everybody."""
text040#0,"""How about we clean up any stragglers and then head home?"""
text050#0,"""Sounds good to me.<br>I can't wait to kick back and sip some nice hot soup."""
text060#0,"""A job well done, everyone.<br>We will continue to investigate the cause behind the Scarlet Realms."""
