Title#0,"""암영이 몰아치는 부서진 세계"""
Explanation#0,"""행성 나베리우스를 비롯한 여러 행성에<br>출현한 괴세 구역 어딘가에서 적 반응이<br>계속해서 나타나고 있다. 본 임무는 각처의<br>적 반응을 집중적으로 격퇴하는 것이 목표다.<br>소수 정예의 부대를 편성하여 각 행성을 <br>전전하여 현상 조사와 적 세력을 격퇴 하라.<br>――――――――――――――――――――<br>각 행성에 나타난 적 격퇴 시 클리어"""
SimpleExplanation#0,"""각 행성에 나타난 적을 격톼하라!"""
NpcComMsg1#0,"""지금부터 행성 나베리우스의<br>괴세구역으로 전송을 시작합니다!"""
NpcComMsg2#0,"""여태까지 없었던 비정상적인 반응으로<br>시공계의 파라미터가 엉망입니다…<br>신중하게 조사를 진행합시다."""
Area0S#0,"""괴세구역: 삼림 에어리어 1"""
Area0L#0,"""행성 나베리우스 괴세구역: 삼림 에어리어 1"""
Area1S#0,"""괴세구역: 지하 갱도 에어리어 2"""
Area1L#0,"""행성 리리파 괴세구역: 지하 갱도 에어리어 2"""
Area2S#0,"""괴세구역: 화산 동굴 에어리어 3"""
Area2L#0,"""행성 암두스키아 괴세구역: 화산 동굴 에어리어 3"""
Area3S#0,"""괴세구역: 유적 에어리어 4"""
Area3L#0,"""행성 나베리우스 괴세구역: 유적 에어리어 4"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 보유"""
a4#0,"""슈퍼 하드 수주 허가증 보유"""
