name_7245#0,"""셰미"""
ssn_019180_002_0010#0,"""아… 와주셨군요.<br>…다시 한 번, 소개하겠습니다."""
ssn_019180_002_0020#0,"""저는 셰미.<br>기술개발부에서 장비 개발을 담당하고 있습니다."""
ssn_019180_002_0030#0,"""…그, 그럼 본론입니다만…."""
ssn_019180_002_0011#0,""""아… 와주셨군요.<br>감사합니다."""
ssn_019180_002_0021#0,"""저기… 정말… 많은 도움을 받네요.<br>기뻐요."""
ssn_019180_002_0031#0,"""그… 그럼…<br>본론… 입니다만."""
ssn_019180_002_0040#0,"""장비의 \""한계 돌파\""라고<br>알고 계신가요…?"""
ssn_019180_002_0050#0,"""장비의 포텐셜을… 끌어내는 데 있어서,<br>굉장히… 중요한데요…."""
ssn_019180_002_0060#0,"""하지만…<br>하지않는 사람도 적지 않은 것 같아서…."""
ssn_019180_002_0070#0,"""그래서, 여러분께 방법을 알려 드리기 위해<br>당신이 본보기가 되어주셨으면… 해서요."""
ssn_019180_002_0080#0,"""당신이 필요한 소재를 모으는 곳을,<br>모니터링… 하게 해주시면 안 될까요."""
ssn_019180_002_0090#0,"""제가 소재를 조금 드릴 테니,<br>나머지는 수집을 부탁드릴 수… 있을까요?"""
ssn_019180_002_0100#0,"""그… 번거로우시겠지만<br>잘 부탁드립니다."""
ssn_019180_002_0101#0,"""스트라그먼트A를 7개, 스트라그먼트B를 7개,<br>스트라그먼트C를 7개, N-엑스큐브를 1개 입수했습니다."""
ssn_019180_002_0102#0,"""스트라그먼트A를 1개, 스트라그먼트B를 1개,<br>스트라그먼트C를 1개 입수했습니다."""
ssn_019180_002_0120#0,"""아, 어서… 오세요."""
ssn_019180_002_0130#0,"""재료 수집,<br>감사… 합니다…."""
ssn_019180_002_0140#0,"""제대로 기록… 했으니,<br>다른 아크스에게 공유… 하고 싶습니다."""
ssn_019180_002_0150#0,"""그럼 다음은,<br>실제 한계 돌파… 입니다만…."""
ssn_019180_002_0160#0,"""그쪽 절차는…<br>저희쪽에서 대응…하고자 합니다."""
ssn_019180_002_0170#0,"""…이번에 얻은 재료는,<br>좋아하는 장비 강화에… 사용해 주세요."""
ssn_019180_002_0180#0,"""장비는 다양하게 커스터마이징… 할 수 있으니,<br>도전 해주시면… 기쁠 거 같아요."""
ssn_019180_002_0190#0,"""이번에 협력해 주셔서… 감사합니다"""
ssn_019180_002_0200#0,"""앞으로도…<br>자, 잘 부탁드립니다."""
ssn_019180_002_0300#0,"""역시 전 이런 홍보 활동 같은 거,<br>잘 못하지만…."""
ssn_019180_002_0310#0,"""뭐, 뭔가 도와드릴 수 있는 게<br>있을까요…?"""
ssn_019180_002_0400#0,"""장비에 대한 걸 좀 더… 여러분에게<br>알려드리기 위해… 노력하겠습니다."""
ssn_019180_002_0410#0,"""뭐, 뭔가 도와드릴 수 있는 게<br>있을까요…?"""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)까지)"""
npc_menu_0030#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_0040#0,"""시즈널 포인트에 관하여 묻기"""
npc_menu_0050#0,"""메뉴 닫기"""
npc_menu_0060#0,"""아이템 리사이클 ($(0)까지)"""
npc_menu_1010#0,"""\""시즈널 포인트\""에 관하여"""
npc_menu_1020#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_1050#0,"""\""스트라그먼트\""에 관하여"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
